"File","Qualified Name","Current R12 Grade","Manual Grade","Action","Evidence Summary","Best Practice Gap","Output Proof Present"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.per_pass_totals","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.hotspots","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.summary_report","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.to_json","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","_percentile","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","record_iteration","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","record_cache_hit","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","record_cache_miss","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","record_wave","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","speedup_factor","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","meets_speedup_target","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","stdev_duration_s","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_karst.py","SinkholeSpec","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_karst.py","SinkholeSpec.__post_init__","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_karst.py","KarstFeature","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_karst.py","KarstFeature.__post_init__","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_karst.py","detect_karst_candidates","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_karst.py","carve_karst_features","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_karst.py","pass_karst","C+","C+","PROVE_RUNTIME_CONTRACT","Runtime pass or registrar wiring exists and tests/static references exist, but explicit runtime contract and output proof are incomplete.","Add explicit runtime contract proof and output/live-engine proof where terrain-surface behavior is claimed.","No"
"veilbreakers_terrain/handlers/terrain_karst.py","get_sinkhole_specs","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_legacy_bug_fixes.py","audit_np_clip_in_file","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_legacy_bug_fixes.py","_audit_pixel_units_in_file","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_live_preview.py","_clone_stack_for_diff","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_live_preview.py","LivePreviewSession","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_live_preview.py","LivePreviewSession.__post_init__","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_live_preview.py","LivePreviewSession.state","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_live_preview.py","LivePreviewSession.current_hash","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_live_preview.py","LivePreviewSession.apply_edit","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_live_preview.py","LivePreviewSession.diff_preview","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_live_preview.py","LivePreviewSession.diff_stacks","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_live_preview.py","LivePreviewSession.snapshot_stack","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_live_preview.py","edit_hero_feature","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_macro_color.py","_resolve_palette","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_macro_color.py","_resolve_strata_color_map","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_macro_color.py","compute_macro_color","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_macro_color.py","pass_macro_color","C+","C+","PROVE_RUNTIME_CONTRACT","Runtime pass or registrar wiring exists and tests/static references exist, but explicit runtime contract and output proof are incomplete.","Add explicit runtime contract proof and output/live-engine proof where terrain-surface behavior is claimed.","No"
"veilbreakers_terrain/handlers/terrain_macro_color.py","register_bundle_k_macro_color_pass","C","C","ADD_DIRECT_TESTS","Runtime-primary surface exists, but direct callable/output contract tests were not sufficient for B-level proof.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","_hash_channel","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","cache_key_for_pass","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache.__init__","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache.__len__","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache.__contains__","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache.get","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache.put","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache._remove_from_tag_index","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache.get_or_compute","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache.invalidate","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache.invalidate_prefix","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache.invalidate_all","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","MaskCache.stats","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","_snapshot_produced_channels","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","_restore_produced_channels","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_mask_cache.py","pass_with_cache","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_masks.py","compute_slope","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_masks.py","compute_curvature","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_masks.py","compute_concavity","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_masks.py","compute_convexity","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_masks.py","detect_basins","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_masks.py","compute_macro_saliency","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_masks.py","compute_base_masks","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_materials.py","_face_slope_angle","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_materials.py","_classify_face","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_materials.py","assign_terrain_materials_by_slope","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_materials.py","blend_terrain_vertex_colors","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_materials.py","blend_terrain_vertex_colors._srgb_to_linear","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
