File,Qualified Name,Current R12 Grade,Manual Grade,Action,Evidence Summary,Best Practice Gap,Output Proof Present
veilbreakers_terrain/handlers/animation_environment.py,generate_chandelier_sway_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_windmill_rotate_keyframes,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_animation_environment.py|veilbreakers_terrain/tests/test_animation_environment.py::test_windmill_rotates;contracts=dispatch_map,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_env_keyframes,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/animation_gaits.py,Keyframe,D+,D+,WIRE_OR_DEPRECATE,missing_wiring_row;tests=1;refs=2,wire/deprecate,Yes
veilbreakers_terrain/handlers/atmospheric_volumes.py,_permute,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/atmospheric_volumes.py,_smooth,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/atmospheric_volumes.py,_lerp,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/atmospheric_volumes.py,_grad2,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/atmospheric_volumes.py,_perlin2,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/atmospheric_volumes.py,_perlin2._h,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=7,add direct tests,No
veilbreakers_terrain/handlers/atmospheric_volumes.py,compute_atmospheric_placements,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=3;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/atmospheric_volumes.py,compute_atmospheric_placements._build_prob_map,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/atmospheric_volumes.py,compute_atmospheric_placements._sample_terrain_position,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/atmospheric_volumes.py,compute_volume_mesh_spec,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=3;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/atmospheric_volumes.py,_count_by_type,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/atmospheric_volumes.py,estimate_atmosphere_performance,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=3;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/autonomous_loop.py,_cross,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=3,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/autonomous_loop.py,_dot,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/autonomous_loop.py,_sub,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=3,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/autonomous_loop.py,_length,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/autonomous_loop.py,_normalize,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=4,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/autonomous_loop.py,_face_normal,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=5,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/autonomous_loop.py,_is_degenerate,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/autonomous_loop.py,_edge_key,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/autonomous_loop.py,_compute_edge_face_counts,D+,D+,WIRE_OR_DEPRECATE,orphan_candidate;tests=0;refs=0,wire/deprecate,No
veilbreakers_terrain/handlers/autonomous_loop.py,_uv_triangle_area,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/autonomous_loop.py,_face_uv_area,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/autonomous_loop.py,_grade_worse_than,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/autonomous_loop.py,evaluate_mesh_quality,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/autonomous_loop.py,select_fix_action,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/autonomous_loop.py,select_fix_action._try,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/coastline.py,_wang_hash,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=2,add direct tests,No
veilbreakers_terrain/handlers/coastline.py,_generate_shoreline_profile,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/coastline.py,_generate_coastline_mesh,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/coastline.py,_features_overlap,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/coastline.py,_place_features,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/coastline.py,_place_features._try_place,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/coastline.py,_place_features._fetch_at,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/coastline.py,_place_features._hardness_at,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/coastline.py,_place_features._density_weight,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/coastline.py,generate_coastline,C,C,WIRE_OR_DEPRECATE,test_only_or_unwired;tests=1;refs=2,prove production wiring,Yes
veilbreakers_terrain/handlers/coastline.py,compute_wave_energy,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/coastline.py,detect_tidal_zones,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/coastline.py,pass_coastline,C+,C+,REVIEW_FOR_B,runtime_primary;tests=veilbreakers_terrain/tests/test_phase14_wave1.py::test_coastline_delta_written_when_erosion_disabled|veilbreakers_terrain/tests/test_terrain_geology.py::test_pass_coastline_populates_tidal;parent_contract=False,prove parent/runtime contract,Yes
veilbreakers_terrain/handlers/environment.py,_require_bpy,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=3,add direct tests,No
veilbreakers_terrain/handlers/environment.py,rasterize_poi_mask,C,C,WIRE_OR_DEPRECATE,test_only_or_unwired;tests=1;refs=1,prove production wiring,Yes
veilbreakers_terrain/handlers/environment.py,_vector_xyz,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,_coerce_optional_grid_channel,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,_normalize_altitude_for_rule_range,C,C,WIRE_OR_DEPRECATE,test_only_or_unwired;tests=1;refs=0,prove production wiring,Yes
veilbreakers_terrain/handlers/environment.py,_build_tripo_fallback_prompt_info,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,_build_tripo_environment_manifest,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/environment.py,_resolve_terrain_tile_params,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/environment.py,_write_json_manifest,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/environment.py,_cleanup_written_artifacts,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/environment.py,handle_generate_terrain,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_environment_handlers.py::test_controller_path_can_opt_in_to_cave_pipeline|veilbreakers_terrain/tests/test_environment_handlers.py::test_controller_path_forwards_quality_profile_hints_and_viewport_vantage|veilbreakers_terrain/tests/test_environment_handlers.py::test_controller_path_inserts_hydrology_before_erosion|veilbreakers_terrain/tests/test_environment_handlers.py::test_controller_path_threads_cave_candidates_but_defers_cave_pipeline_by_default|veilbreakers_terrain/tests/test_environment_handlers.py::test_generate_terrain_expected_keys|veilbreakers_terrain/tests/test_environment_handlers.py::test_generate_terrain_uses_controller_heightmap_as_source_of_truth;contracts=veilbreakers_terrain/handlers/__init__.py,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/environment.py,handle_generate_terrain_tile,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_environment_handlers.py::test_generate_terrain_tile_manifest_failure_cleans_export_artifacts|veilbreakers_terrain/tests/test_environment_handlers.py::test_generate_terrain_tile_writes_resume_manifest|veilbreakers_terrain/tests/test_environment_handlers.py::test_world_terrain_can_wrap_multiple_tiles|veilbreakers_terrain/tests/test_environment_handlers.py::test_world_terrain_manifest_write_failure_isolated|veilbreakers_terrain/tests/test_environment_handlers.py::test_world_terrain_partial_failure_preserves_requested_bounds_and_frontier|veilbreakers_terrain/tests/test_environment_handlers.py::test_world_terrain_wraps_tile_generation;contracts=veilbreakers_terrain/handlers/__init__.py,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/environment.py,handle_generate_terrain_tile._apply_neighbor_edge_locks,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,handle_run_terrain_pass,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_terrain_master_registrar.py::test_handle_run_terrain_pass_default_pipeline_is_safe_without_scene_read|veilbreakers_terrain/tests/test_terrain_master_registrar.py::test_handle_run_terrain_pass_injects_heightmap_prepare_before_validation_full|veilbreakers_terrain/tests/test_terrain_master_registrar.py::test_handle_run_terrain_pass_injects_overhang_emit_phase_for_cliff_pipeline|veilbreakers_terrain/tests/test_terrain_master_registrar.py::test_handle_run_terrain_pass_registers_non_default_passes_for_direct_callers|veilbreakers_terrain/tests/test_terrain_master_registrar.py::test_handle_run_terrain_pass_skips_heightmap_injection_when_unity_export_opted_out|veilbreakers_terrain/tests/test_terrain_master_registrar.py::test_handle_run_terrain_pass_still_surfaces_truly_unknown_passes;contracts=veilbreakers_terrain/handlers/__init__.py|veilbreakers_terrain/handlers/terrain_pipeline.py,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/environment.py,handle_run_terrain_pass._serialize,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,handle_stitch_terrain_edges,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/environment.py,handle_stitch_terrain_edges._in_protected_zone,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,handle_stitch_terrain_edges._edge_vertices,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,handle_paint_terrain,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=2,add direct runtime tests,No
veilbreakers_terrain/handlers/environment.py,handle_paint_terrain._smoothstep_np,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,_clamp01,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,_smootherstep,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,_point_segment_distance_2d,D+,D+,WIRE_OR_DEPRECATE,orphan_candidate;tests=0;refs=0,wire/deprecate,No
veilbreakers_terrain/handlers/environment.py,_create_mesh_object_from_spec,C,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/environment.py,_serialize_validation_issues,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,_coerce_point3,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,_offset_point3,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,handle_create_cave_entrance,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_environment_handlers.py::test_accepts_2d_location_and_parent_name_without_bpy_lookup|veilbreakers_terrain/tests/test_environment_handlers.py::test_rejects_invalid_style|veilbreakers_terrain/tests/test_environment_handlers.py::test_rejects_non_finite_location;contracts=veilbreakers_terrain/handlers/__init__.py,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/environment.py,_boundary_edges_from_faces,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment.py,_nearest_pot_plus_1,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/environment.py,_stable_seed_offset,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/environment_scatter.py,LocationLayer.__init__,D+,D+,WIRE_OR_DEPRECATE,missing_wiring_row;tests=16;refs=16,wire/deprecate,Yes
veilbreakers_terrain/handlers/light_integration.py,_fp,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/light_integration.py,compute_probe_placements,C,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/light_integration.py,compute_light_placements,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=2;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/light_integration.py,_dist3,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=2,add direct tests,No
veilbreakers_terrain/handlers/light_integration.py,_uf_find,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/light_integration.py,_uf_union,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/light_integration.py,merge_nearby_lights,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=2;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/light_integration.py,compute_light_budget,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/mesh.py,_dist3d_sq,D+,D+,WIRE_OR_DEPRECATE,orphan_candidate;tests=0;refs=0,wire/deprecate,No
veilbreakers_terrain/handlers/mesh.py,_dot3,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/mesh.py,_sub3,D+,D+,WIRE_OR_DEPRECATE,orphan_candidate;tests=0;refs=0,wire/deprecate,No
veilbreakers_terrain/handlers/mesh.py,_normalize3,D+,D+,WIRE_OR_DEPRECATE,orphan_candidate;tests=0;refs=0,wire/deprecate,No
veilbreakers_terrain/handlers/mesh.py,_select_by_box,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/mesh.py,_select_by_sphere,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/mesh.py,_select_by_plane,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=2,prove parent contract or inline,Yes
