"change","path","old_path","decision","evidence"
"A","docs/superpowers/specs/2026-05-02-aaa-audit-fix-coastal-ruins-design.md","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","output/aaa_ashen_caldera_node_v1/BUILD_SUMMARY.json","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v1/orbit/orbit_00.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v1/orbit/orbit_01.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v1/orbit/orbit_02.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v1/orbit/orbit_03.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v1/render_hero.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v1/render_lava_river.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/BUILD_SUMMARY.json","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/CROSS_SECTIONS.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/VISUAL_INSPECTION.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_basin_v2.npy","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_basin_v2.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_curvature_v2.npy","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_curvature_v2.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_heightmap_v2.npy","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_heightmap_v2.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_ridge_v2.npy","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_ridge_v2.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_slope_v2.npy","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_slope_v2.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_splatmap_v2.npy","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_ashen_caldera_node_v2/caldera_splatmap_v2.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/BUILD_SUMMARY.json","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/UNITY_NODE_MANIFEST.json","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/orbit/orbit_00.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/orbit/orbit_01.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/orbit/orbit_02.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/orbit/orbit_03.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/orbit/orbit_04.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/orbit/orbit_05.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/orbit/orbit_06.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/orbit/orbit_07.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/render_hero.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_mountain_pass_node_v1/render_waterfall.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_sunken_coastal_ruins_node_v1/BUILD_FAILURE.log","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_sunken_coastal_ruins_node_v1/BUILD_SUMMARY.json","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_sunken_coastal_ruins_node_v1/orbit/orbit_00.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_sunken_coastal_ruins_node_v1/orbit/orbit_01.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_sunken_coastal_ruins_node_v1/orbit/orbit_02.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_sunken_coastal_ruins_node_v1/orbit/orbit_03.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_sunken_coastal_ruins_node_v1/render_harbour.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_sunken_coastal_ruins_node_v1/render_hero.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/aaa_sunken_coastal_ruins_node_v1/render_waterline.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"M","output/spreadsheet/CALLABLE_WIRING_AUDIT_2026_04_19.csv","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","output/spreadsheet/CALLABLE_WIRING_SUMMARY_2026_04_19.md","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"A","output/spreadsheet/GRADES_VERIFIED_STALE_ROWS_REMOVED_2026_05_03_041454.csv","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/spreadsheet/GRADES_VERIFIED_STALE_ROWS_REMOVED_2026_05_03_042321.csv","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/spreadsheet/INDUSTRY_BEST_PRACTICE_CALLABLE_MATRIX_2026_04_30.csv","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/spreadsheet/INDUSTRY_BEST_PRACTICE_CALLABLE_MATRIX_2026_04_30.md","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/spreadsheet/INDUSTRY_BEST_PRACTICE_CALLABLE_MATRIX_2026_05_01.csv","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/spreadsheet/INDUSTRY_BEST_PRACTICE_CALLABLE_MATRIX_2026_05_01.md","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"A","output/spreadsheet/INDUSTRY_BEST_PRACTICE_CALLABLE_MATRIX_2026_05_03.csv","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"A","output/spreadsheet/INDUSTRY_BEST_PRACTICE_CALLABLE_MATRIX_2026_05_03.md","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","output/spreadsheet/MASTER_CALLABLE_AUDIT_2026_04_19.csv","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"M","output/spreadsheet/TEST_GUARDRAIL_AUDIT_2026_04_19.csv","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"M","output/spreadsheet/TEST_GUARDRAIL_SUMMARY_2026_04_19.md","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"M","output/verification/CALLABLE_VERIFICATION_MATRIX.csv","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","output/verification/CALLABLE_VERIFICATION_SUMMARY.json","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","output/verification/CALLABLE_VERIFICATION_SUMMARY.md","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","output/verification/TERRAIN_BEST_PRACTICE_GUARDRAIL_REPORT.json","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","output/verification/TERRAIN_BEST_PRACTICE_GUARDRAIL_REPORT.md","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","output/visual_readiness/VISUAL_TESTING_READINESS.json","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"M","output/visual_readiness/VISUAL_TESTING_READINESS.md","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"A","output/visual_readiness/reference/test_live_preview_thumbnail.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"M","output/visual_readiness/test_live_preview_thumbnail.png","","reject-generated","Generated render/audit/evidence artifact from dirty PR14. Keep out of source PRs unless regenerated as explicit evidence."
"M","pyproject.toml","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"A","pyright-strict-baseline.json","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"A","pyrightconfig.json","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"A","pyrightconfig.strict.json","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"A","scripts/aaa_caldera_catalog.py","","defer-script-code","Script change needs focused review; PR14 contains mixed generated/build/audit script churn."
"A","scripts/build_aaa_ashen_caldera_node_v1.py","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","scripts/build_aaa_ashen_caldera_node_v2.py","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","scripts/build_aaa_ashen_caldera_v2.py","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","scripts/build_aaa_mountain_pass_node_v1.py","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","scripts/build_aaa_sunken_coastal_ruins_node_v1.py","","reference-only","Useful as reference/audit context only; not production runtime code."
"M","scripts/build_industry_best_practice_callable_matrix.py","","defer-script-code","Script change needs focused review; PR14 contains mixed generated/build/audit script churn."
"M","scripts/build_master_callable_audit.py","","defer-script-code","Script change needs focused review; PR14 contains mixed generated/build/audit script churn."
"M","scripts/build_scene_v3.py","","defer-script-code","Script change needs focused review; PR14 contains mixed generated/build/audit script churn."
"M","scripts/build_verification_matrix.py","","defer-script-code","Script change needs focused review; PR14 contains mixed generated/build/audit script churn."
"M","scripts/callable_census_gate.lock","","defer-script-code","Script change needs focused review; PR14 contains mixed generated/build/audit script churn."
"M","scripts/callable_census_gate.py","","defer-script-code","Script change needs focused review; PR14 contains mixed generated/build/audit script churn."
"A","scripts/check_protocol_adoption.py","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"A","scripts/pyright_strict_baseline_gate.py","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"A","scripts/reference_library/__init__.py","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","scripts/reference_library/ashen_caldera.json","","reference-only","Useful as reference/audit context only; not production runtime code."
"R098","scripts/render_bridge_visual.py","scripts/test_bridge_visual.py","reference-only","Useful as reference/audit context only; not production runtime code."
"R097","scripts/render_cliff_cave_visual.py","scripts/test_cliff_cave_visual.py","reference-only","Useful as reference/audit context only; not production runtime code."
"M","scripts/render_closeups_v3_batched.ps1","","defer-script-code","Script change needs focused review; PR14 contains mixed generated/build/audit script churn."
"R099","scripts/render_road_visual.py","scripts/test_road_visual.py","reference-only","Useful as reference/audit context only; not production runtime code."
"R099","scripts/render_scatter_visual.py","scripts/test_scatter_visual.py","reference-only","Useful as reference/audit context only; not production runtime code."
"R099","scripts/render_water_visual.py","scripts/test_water_visual.py","reference-only","Useful as reference/audit context only; not production runtime code."
"M","scripts/scan_callable_wiring.py","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"M","scripts/terrain_best_practice_guardrail.py","","defer-script-code","Script change needs focused review; PR14 contains mixed generated/build/audit script churn."
"M","scripts/update_r9_grades.py","","defer-script-code","Script change needs focused review; PR14 contains mixed generated/build/audit script churn."
"M","scripts/visual_testing_readiness_gate.py","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"M","unity_plugin/Editor/VbTerrainImporter.cs","","defer-unity","Needs Unity compile/import proof before salvage."
"A","unity_plugin/Editor/VbTerrainRasterChannels.cs","","defer-unity","Needs Unity compile/import proof before salvage."
"A","unity_plugin/VbFoliageManifestRenderer.cs","","defer-unity","Needs Unity compile/import proof before salvage."
"M","unity_plugin/VbTerrainTileMetadata.cs","","defer-unity","Needs Unity compile/import proof before salvage."
"M","veilbreakers_terrain/contracts/terrain.yaml","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"M","veilbreakers_terrain/handlers/__init__.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/_biome_grammar.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/_bridge_mesh.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/_mesh_bridge.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/_scatter_engine.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/_terrain_depth.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/_terrain_erosion.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/_terrain_noise.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/_terrain_world.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/_water_network.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/_water_network_ext.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/animation_environment.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/animation_gaits.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/asset_generation.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/atmospheric_volumes.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/blender_capability_bridge.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/coastline.py","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","veilbreakers_terrain/handlers/environment.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/environment_scatter.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/light_integration.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/lod_pipeline.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/procedural_grass.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/procedural_materials.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/road_network.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_addon_health.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_advanced.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_assets.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_audio_zones.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_banded.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_bundle_n.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_caves.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_checkpoints.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_chunking.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_cliffs.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_cloud_shadow.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_decal_placement.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_delta_integrator.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_dem_import.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_determinism_ci.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_ecotone_graph.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_erosion_filter.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_features.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_fog_masks.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_foliage_catalog.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_framing.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_gameplay_zones.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_geology_validator.py","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"M","veilbreakers_terrain/handlers/terrain_glacial.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_god_ray_hints.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_golden_snapshots.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
