File,Qualified Name,Function,Line,Kind,Scope,R11 Domain,Research Refs,R11 Required AAA Evidence,R11 Grade,R11 B-Floor Grade,R11 Remediation Category,R11 Confidence,R11 Findings
veilbreakers_terrain/handlers/_water_network_ext.py,compute_riverbed_caustics,compute_riverbed_caustics,1048,function,runtime_handler,water,HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS,"Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS: Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/animation_environment.py,validate_env_params,validate_env_params,114,function,runtime_handler,validation_visual,FROSTBITE_TERRAIN|UE_PCG,"Golden rendered terrain families, adjacent-tile seam proof, engine import gates, pixel/readability metrics.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against FROSTBITE_TERRAIN|UE_PCG: Golden rendered terrain families, adjacent-tile seam proof, engine import gates, pixel/readability metrics. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/coastline.py,generate_coastline,generate_coastline,792,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/environment.py,rasterize_poi_mask,rasterize_poi_mask,85,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/environment_scatter.py,halo_scatter_point_id,halo_scatter_point_id,1208,function,runtime_handler,scatter_foliage,UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN,"Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN: Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/environment_scatter.py,create_leaf_card_tree,create_leaf_card_tree,1649,function,runtime_handler,scatter_foliage,UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN,"Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN: Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/lod_pipeline.py,compute_collision_aabb,compute_collision_aabb,943,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Graph/tool exposure, deterministic callable contracts, runtime wiring, clear failure modes, designer iteration path.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG|FROSTBITE_TERRAIN: Graph/tool exposure, deterministic callable contracts, runtime wiring, clear failure modes, designer iteration path. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_addon_health.py,assert_handlers_registered,assert_handlers_registered,107,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_advanced.py,evaluate_spline,evaluate_spline,142,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_asset_metadata.py,validate_asset_metadata,validate_asset_metadata,174,function,runtime_handler,scatter_foliage,UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN,"Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN: Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/terrain_asset_metadata.py,classify_size_from_bounds,classify_size_from_bounds,304,function,runtime_handler,scatter_foliage,UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN,"Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN: Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/terrain_assets.py,classify_asset_role,classify_asset_role,152,function,runtime_handler,scatter_foliage,UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN,"Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN: Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/terrain_audio_zones.py,compute_audio_reverb_zones,compute_audio_reverb_zones,604,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_audio_zones.py,export_zones_to_wwise_csv,export_zones_to_wwise_csv,816,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|UE_PCG,"World hierarchy, streaming, virtual texture/cache strategy, screen-error budgets, engine import smoke tests.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against FROSTBITE_TERRAIN|UE_PCG: World hierarchy, streaming, virtual texture/cache strategy, screen-error budgets, engine import smoke tests. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_checkpoints.py,list_checkpoints,list_checkpoints,182,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_checkpoints.py,save_preset,save_preset,450,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_checkpoints.py,restore_preset,restore_preset,501,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_checkpoints.py,autosave_after_pass,autosave_after_pass,554,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_checkpoints_ext.py,lock_preset,lock_preset,38,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_checkpoints_ext.py,unlock_preset,unlock_preset,43,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_checkpoints_ext.py,assert_preset_unlocked,assert_preset_unlocked,52,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_checkpoints_ext.py,save_every_n_operations,save_every_n_operations,63,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_checkpoints_ext.py,generate_checkpoint_filename,generate_checkpoint_filename,233,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_checkpoints_ext.py,enforce_retention_policy,enforce_retention_policy,268,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_chunking.py,compute_chunk_lod,compute_chunk_lod,95,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|UE_PCG,"World hierarchy, streaming, virtual texture/cache strategy, screen-error budgets, engine import smoke tests.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against FROSTBITE_TERRAIN|UE_PCG: World hierarchy, streaming, virtual texture/cache strategy, screen-error budgets, engine import smoke tests. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_chunking.py,compute_terrain_chunks,compute_terrain_chunks,244,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_chunking.py,export_chunks_metadata,export_chunks_metadata,448,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|UE_PCG,"World hierarchy, streaming, virtual texture/cache strategy, screen-error budgets, engine import smoke tests.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against FROSTBITE_TERRAIN|UE_PCG: World hierarchy, streaming, virtual texture/cache strategy, screen-error budgets, engine import smoke tests. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_dem_import.py,import_dem_tile,import_dem_tile,390,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_dem_import.py,resample_dem_to_tile_grid,resample_dem_to_tile_grid,511,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_dem_import.py,normalize_dem_to_world_range,normalize_dem_to_world_range,552,function,runtime_handler,terrain_shape,HOUDINI_HEIGHTFIELDS|GAEA_TERRAINS|GAEA_EROSION|FROSTBITE_TERRAIN,"Layered macro/meso/micro landforms, art-directed masks, erosion/deposition, cliff/foothill/flatland family controls, tiled visual goldens.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_HEIGHTFIELDS|GAEA_TERRAINS|GAEA_EROSION|FROSTBITE_TERRAIN: Layered macro/meso/micro landforms, art-directed masks, erosion/deposition, cliff/foothill/flatland family controls, tiled visual goldens. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/terrain_destructibility_patches.py,detect_destructibility_patches,detect_destructibility_patches,30,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_destructibility_patches.py,export_destructibility_json,export_destructibility_json,155,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|UE_PCG,"World hierarchy, streaming, virtual texture/cache strategy, screen-error budgets, engine import smoke tests.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against FROSTBITE_TERRAIN|UE_PCG: World hierarchy, streaming, virtual texture/cache strategy, screen-error budgets, engine import smoke tests. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_determinism_ci.py,detect_determinism_regressions,detect_determinism_regressions,212,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_features.py,generate_canyon,generate_canyon,179,function,runtime_handler,cliffs,HOUDINI_HEIGHTFIELDS|GAEA_TERRAINS,"Real strata/fractures/outcrops/talus, vertical-detail geometry or assets, material projection, and rendered readability proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_HEIGHTFIELDS|GAEA_TERRAINS: Real strata/fractures/outcrops/talus, vertical-detail geometry or assets, material projection, and rendered readability proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/terrain_features.py,generate_cliff_face,generate_cliff_face,1245,function,runtime_handler,cliffs,HOUDINI_HEIGHTFIELDS|GAEA_TERRAINS,"Real strata/fractures/outcrops/talus, vertical-detail geometry or assets, material projection, and rendered readability proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_HEIGHTFIELDS|GAEA_TERRAINS: Real strata/fractures/outcrops/talus, vertical-detail geometry or assets, material projection, and rendered readability proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/terrain_features.py,generate_floating_rocks,generate_floating_rocks,3435,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_features.py,generate_lava_flow,generate_lava_flow,4133,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
veilbreakers_terrain/handlers/terrain_footprint_surface.py,compute_footprint_surface_data,compute_footprint_surface_data,42,function,runtime_handler,generic,UE_PCG,"Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG: Runtime relevance, tests, deterministic behavior, and clear integration into terrain/world generation. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner."
