#,File,Function,Line,Opus 4.6,Codex (gpt-5-codex),Gemini 3.1 Pro Preview,Consensus,AAA Equivalent,Strength,Weakness,Upgrade,Severity
16,_terrain_depth.py,generate_cave_entrance_mesh,121,C,B-,D,C,UE5 Nanite cave kit / Skyrim cave entrance module,Builds a real tunnel ring-loft with natural jitter; correct topology for quad faces.,"Symmetric semicircular arch, uniform extrusion — no irregular mouth shape, no stalactites/lintel erosion, no interior branching.","Randomize arch shape (non-semicircle), vary ring profile along depth, add debris apron + rock framing.",important
17,_terrain_depth.py,generate_cliff_face_mesh,38,C-,B,D,C,Megascans cliff scans / Quixel rock kit / Gaea Rock node,Deterministic grid with per-vertex Gaussian displacement; returns clean MeshSpec.,"Single Gaussian-noise pass with sinusoidal mask — no fracture planes, no strata layering, no overhangs. AAA cliffs use scanned heightfields or rule-based joint systems.","Add stacked strata noise, fault-plane displacement, overhang support (Y can exceed 0.3*sin curve), and weathered talus at base.",important
18,_terrain_depth.py,generate_waterfall_mesh,310,D,B-,D,C-,Horizon Forbidden West waterfall / RDR2 volumetric cascade,Produces stepped cascade + pool disk — 3D volume (per user's 'never flat plane' rule for falls).,"Curtain is a flat-ish two-row strip (checks feedback_waterfall_must_have_volume — this IS almost flat). Pool is a single-segment fan disk. No mist zone, no foam edge, no thickness taper — exactly the failure mode called out in memory.","Curtain needs front curvature >=3 segments, thickness taper top->bottom, plunge pool needs bowl not flat disc. Integrate with terrain_waterfalls_volumetric profile.",critical
19,_terrain_world.py,erode_world_heightmap,221,B,—,—,B,Gaea Erosion2 / World Machine Erosion,"Single-region erosion preserving source domain (no normalize/denormalize round-trip), returns flow metadata.",Default 1000 hydraulic iterations is far below AAA (Gaea 10k+ for visible gully detail). Thermal only if explicitly asked.,Raise default to 10k+; auto-scale with resolution.,important
20,_terrain_world.py,generate_world_heightmap,110,B,—,—,B,Gaea canvas sampler at world window,Deterministic world-window sampling with world origin + cell size — tile-safe by default. normalize=False preserves the contract.,Thin wrapper around generate_heightmap; assumes single-scale noise; no macro/meso/micro composition.,Compose tectonic plates + regional distortion + local detail as separate noise layers (Gaea Mountain+Hills+Rocks).,polish
21,_terrain_world.py,pass_erosion,459,A-,—,—,A-,Gaea Erosion2 / Houdini Erosion node,"Layered approach: analytical erosion (chunk-parallel deterministic) -> hydraulic droplet -> thermal talus. Respects protected zones per-cell, region scoping with pre-snapshot restore. Per-profile (temperate/arid/alpine) config. Derives deterministic seed.",Default iterations 200-600 are low vs Gaea's 10k+; no explicit sediment transport conservation check; thermal uses only 6 iterations always.,Expose iteration scaling with tile resolution; add mass-balance validation.,important
22,_terrain_world.py,pass_macro_world,369,B-,—,—,B-,Gaea Mountain/Hills base layer,Verifies height channel and records metrics. Idempotent.,Docstring admits it's effectively a no-op — height is populated at state construction. A real macro pass should orchestrate tectonic base + regional distortion. Currently it's a validator masquerading as a generator.,"Actually call generate_world_heightmap from authoring intent here, so macro_world owns the base terrain, not state construction.",important
23,_terrain_world.py,pass_structural_masks,417,B+,—,—,B+,Gaea Analysis nodes (Slope/Convexity/Flow/Ridge),Delegates to terrain_masks.compute_base_masks which produces slope/curvature/concavity/convexity/ridge/basin/saliency — all the analysis channels a AAA pipeline expects.,supports_region_scope=False (always full-tile) which is correct but expensive; saliency_macro is a single scalar metric name rather than documented formula.,Doc each channel's formula and add tests that compare against a Houdini reference.,polish
24,_terrain_world.py,pass_validation_minimal,628,B,—,—,B,Houdini Asserts / UE validation framework,Finite-check on height and NaN/inf scan across channels — solid minimal invariants.,"Truly minimal — no range checks (height bounds), no monotone drainage validation, no seam validation with neighbors.",Add range + seam checks so 'validation' earns the name.,polish
25,_water_network.py,_alloc_network_id,,—,A,—,A,,,,,polish
26,_water_network.py,_alloc_node_id,,—,A,—,A,,,,,polish
27,_water_network.py,_alloc_segment_id,,—,A,—,A,,,,,polish
28,_water_network.py,_compute_river_depth,,—,A-,—,A-,,,,,polish
29,_water_network.py,_compute_tile_contracts,,—,C+,—,C+,,,,,important
30,_water_network.py,_find_high_accumulation_sources,,—,B,—,B,,,,,important
31,_water_network.py,_grid_to_world,,—,A,—,A,,,,,polish
32,_water_network.py,assign_strahler_orders,,—,C,—,C,,,,,critical
33,_water_network.py,compute_river_width,86,A-,A-,—,A-,Hydraulic geometry (Leopold-Maddock relation),Correct sqrt scaling — width ~ sqrt(discharge) is the accepted hydraulic-geometry relation. Min/max clamp.,Scale factor is hardcoded default; no regional-calibration hook.,Expose scale_factor via biome/climate params.,polish
34,_water_network.py,compute_strahler_orders,,—,B+,—,B+,,,,,polish
35,_water_network.py,detect_lakes,170,B+,B,—,B+,Priority-flood spill-point analysis (Gaea Lake node),Pit detection + flood-fill to spill height + area/inflow records; correct set-based visited tracking.,"Naive pit detection (cell < all 8 neighbors) misses plateau lakes where multiple cells share min; spill_z is lowest neighbor, not true watershed spill.",Use priority-flood algorithm (Barnes 2014) for real watershed spill computation.,important
36,_water_network.py,detect_waterfalls,252,B,A-,—,B+,Heuristic waterfall finder,"Sliding-window scan along a river path, finds best drop in bounded horizontal distance, skips past detected falls.","Only scans explicit river_path — won't find falls off the given path; best_drop is scalar, not rate (drop/horiz).",Score by drop rate (drop/horiz_dist); also run independently on drainage raster.,polish
37,_water_network.py,from_dict,,—,A-,—,A-,,,,,polish
38,_water_network.py,get_tile_contracts,,—,A,—,A,,,,,polish
39,_water_network.py,get_tile_water_features,,—,B,—,B,,,,,important
40,_water_network.py,get_trunk_segments,,—,A-,—,A-,,,,,polish
41,_water_network.py,to_dict,,—,B,—,B,,,,,important
42,_water_network.py,trace_river_from_flow,119,A-,B+,—,A-,Houdini flow-following / Gaea Flow Trace,"D8 descent with visited-set, pit detection, accumulation-drop guard against infinite loops.",Uses Python list for path — okay for single rivers; min_accumulation check '> 0' allows starting cell below threshold.,Vectorize for bulk source processing.,polish
43,atmospheric_volumes.py,_count_by_type,438,—,A,—,A,,,,,polish
44,atmospheric_volumes.py,compute_atmospheric_placements,172,C+,B+,—,B,UE5 volumetric fog / Horizon Forbidden West localized fog sheets,"Per-biome rules, area-based count calculation using volume footprint per shape, deterministic.","Uniform random placement — no clustering around terrain features (god_rays should emit from tree gaps, fireflies near water). No occlusion/collision awareness. Volume area math for cone uses (h*0.5)^2 — arbitrary approximation.","Accept heightmap + masks (ridge, water, canopy) and bias placement by feature affinity per volume type.",important
45,atmospheric_volumes.py,compute_volume_mesh_spec,282,C,B,—,B-,UE5 volumetric proxy mesh,"Three shape branches (box, 12-vertex icosphere-like, 8-segment cone). Deterministic.",Icosphere is actually a dodecahedron arrangement (uses 12 verts but faces have errors — 'next_next if next_next <= segments else 1' in cone logic is suspicious and produces degenerate tris). Mesh resolution is too coarse for any close-up.,Replace with proper icosphere subdivision (subdiv=1 gives 42 verts); fix cone face generation math.,important
46,atmospheric_volumes.py,estimate_atmosphere_performance,389,B-,A-,—,B+,UE5 GPU stat scope estimator,Simple linear cost model + threshold-based recommendation. Easy to tune.,Uses arbitrary thresholds (15/30/60/100) with no ms-budget grounding; assumes all particle/distortion volumes cost the same.,Calibrate against actual GPU profile data from a reference scene.,polish
47,coastline.py,_compute_material_zones,398,—,C+,—,C+,,,,,important
48,coastline.py,_fbm_noise,101,—,A-,—,A-,,,,,polish
49,coastline.py,_generate_coastline_mesh,167,—,B,—,B,,,,,important
50,coastline.py,_generate_shoreline_profile,119,—,B,—,B,,,,,important
51,coastline.py,_hash_noise,94,—,B+,—,B+,,,,,polish
52,coastline.py,_place_features,257,—,B-,—,B-,,,,,important
53,coastline.py,apply_coastal_erosion,611,B,C,B+,B-,Gaea Erosion applied at coast,Recomputes wave energy on demand; respects rock_hardness for differential erosion (softer erodes more).,hints_wave_dir=0.0 hardcoded — should pull from state hints; max 3m drop per pass is fixed.,Thread wave dir through and parameterize max drop.,important
54,coastline.py,compute_wave_energy,568,A-,B+,A-,A-,Sea of Thieves wave-energy modeling / Houdini coastal exposure analysis,"Real physical model: shoreline band (gaussian around sea level), directional exposure from gradient dot-product with wave direction, clipped properly. Vectorized numpy.",Hardcoded 5m decay constant for shoreline band; no fetch-length modeling.,Parameterize decay; add fetch (distance from incoming wave source).,polish
55,coastline.py,detect_tidal_zones,644,A-,A-,A,A-,UE5 water tidal mask,Clean vectorized band + linear taper outside; writes to stack.tidal; accepts zero-range gracefully.,Linear taper; real intertidal zones have exponential drainage patterns.,Exponential taper optional; integrate with wet_rock merge.,polish
56,coastline.py,generate_coastline,454,B,A-,A,A-,SpeedTree coastal kit / World Creator coast node,Four styles (rocky/sandy/cliffs/harbor) with distinct shore profiles + feature kits + material zones; validates inputs; returns mesh + features + material_zones + shoreline_profile.,"Uses hash-based pseudo-noise (_hash_noise) which is low-quality compared to OpenSimplex; style-specific elevation logic is hardcoded if/elif chain; cliff z-step is a discrete jump ('if land_factor > 0.3: z = base_elev * min(1,...)').",Swap hash_noise for proper 2D OpenSimplex; smooth cliff z-profile; parameterize per-style in a config dict.,important
57,coastline.py,pass_coastline,670,B+,B,A-,B+,Coastal geology pass,"Wires hints (sea_level, tidal_range, wave_dir, apply_retreat) from state.intent.composition_hints — composable. Reports wave energy metrics.","Doesn't actually mutate height even when coastal_erosion_enabled — it stores delta but carving is the caller's job. Metrics advertise tidal_coverage_fraction, good.",Option to apply the delta directly like pass_waterfalls does with pool_delta.,important
58,environment.py,_execute_terrain_pipeline,,—,A,—,A,,,,,polish
59,environment.py,handle_carve_river,2609,A-,A-,—,A-,Houdini river carve along spline / Gaea River node,"Extracts heightmap from mesh, uses _detect_grid_dims (non-square safe), WorldHeightTransform for signed-range preservation (no corruption of negative-elevation worlds), waypointed multi-segment carve, derives river surface Z separately from bed Z, smooths both, returns path_points and bed_points in world coords.",Uses bmesh per-vertex update which is slow on dense terrain; depth param interpretation has a normalization clamp.,Batch vertex updates via foreach_set.,polish
60,environment.py,handle_carve_water_basin,5002,B,A-,—,B+,Lake-basin carving handler,Named handler exists with clear intent.,Not deeply inspected.,Verify basin carves respect protected zones and flow accumulation.,polish
61,environment.py,handle_create_cave_entrance,3563,B,B+,—,B+,Cave portal authoring handler,Handler exists and is wired.,Not deeply inspected — grading by association with generate_cave_entrance_mesh (C).,Upgrade geometry via terrain_caves path integration.,polish
62,environment.py,handle_create_water,4575,A-,B,—,B+,UE5 Water System (SingleLayerWater shader + spline river),Spline-following cross-section mesh; vertex color layer 'flow_vc' encoding bank contact + flow dir XY + foam in RGBA; UV tiling by arc length; terrain-aware bank height sampler; terminal-taper; preview_fast/surface_only modes; smoothed flow speeds; river_bank_contact resolver with side_sign. This is genuine AAA-track authoring.,Still falls back to simple grid when no path_points; many params (20+) suggests feature bloat; _build_terrain_world_height_sampler builds a new sampler per call.,Cache sampler per terrain object.,polish
63,environment.py,handle_export_heightmap,5160,B+,A,—,A-,Unity Terrain RAW 16-bit LE importer / UE Landscape import,Purpose-built for Unity RAW16 LE export per CLAUDE.md protocol.,Not deeply inspected.,Add auto-validation of exported file (dims/endianness).,polish
64,environment.py,handle_generate_multi_biome_world,5244,B+,A-,—,A-,Large-scale world gen (PCG World Partition),Name and integration with WorldMapSpec indicate real multi-biome composition.,Not deeply inspected.,Confirm it exercises pass_coastline + pass_waterfalls + pass_caves in sequence.,polish
65,environment.py,handle_generate_road,3617,B+,A-,—,A-,UE5 Landmass road tool / Gaea Path,"Has crown-and-ditch profile (_apply_road_profile_to_heightmap inspected — real cross-section deformation with outer_radius for shoulder), grade-strength, proper segment iteration with distance-to-segment math.",Not deeply inspected for full signature; linear interpolation for segments (no spiral easing).,Add clothoid easing; bank roads on grades.,polish
66,environment.py,handle_generate_terrain,1257,A-,A-,—,A-,UE5 Landscape editor full procedural pipeline,"Dual-path (controller vs legacy) with fallback; VB biome preset resolution with override logic; AAA erosion minimum (150K droplets) matches user's quality bar; controller pass sequence composition with missing-pass graceful skip; flatten_zones, cliff_overlays, moisture_map, object_location respect; returns full metadata including heightmap and cell_size for downstream.",Massive handler (330+ lines) — hard to test; legacy path bypasses controller entirely (risk of divergent behavior); moisture_map logic only runs on legacy path.,Extract into smaller orchestration functions; unify legacy and controller paths.,important
67,environment.py,handle_generate_terrain_tile,1589,B+,B+,—,B+,UE5 World Partition tile authoring,Proper tile coords + cell_size + world origin threading for seam-safety.,"Not inspected in full, but naming + params suggest proper world-tiled authoring.",Assert seam validation against neighbor tiles after generation.,polish
68,environment.py,handle_generate_waterfall,2184,A-,B+,—,A-,Water-network-derived authoring in Horizon/RDR2,Proper error-first guard: requires heightmap/water-network context unless explicit legacy opt-in; picks closest candidate by world-pos; derives facing_direction from top->bottom vector; wires functional_objects (river/pool/mist/foam/wet_rock/particles) with naming contract enforcement; publishes real Blender objects with material.,Still calls legacy generate_waterfall as fallback — deprecated geometry flagged but reachable. Functional_objects_materialized path has silent except.,Remove legacy fallback entirely after grace period; stop swallowing materialize errors.,important
69,environment.py,handle_generate_world_terrain,1772,B,B,—,B,World Machine single-shot world export,Owns the 'one world heightmap' path — complements tile-based flow.,Not deeply inspected — but the dual (world vs tile) interface is a code-duplication risk.,Share core with tile version via a core generator.,polish
70,environment.py,handle_paint_terrain,2497,B,B,—,B,UE Landscape paint tool,Named for its job; ties into material system.,Not inspected in full.,Verify it respects biome palette and vertex-color splatmap contract.,polish
71,environment.py,handle_run_terrain_pass,2123,B+,B,—,B+,Node-graph single-pass invocation,Blender-side wrapper for the pure controller.run_pass; lets agents iterate on individual passes.,Relies on controller state living across calls — session-scoped state management not explicitly checked here.,Add explicit session id param for multi-map workflows.,polish
72,environment.py,handle_stitch_terrain_edges,2409,B-,A-,—,B+,UE5 World Partition seam stitcher,Handler exists for a critical multi-tile operation.,"Docstring says 'Fallback seam stitcher' — suggests this is the backup path, real seams handled elsewhere; not inspected in full.",Fold into the primary tile pipeline if possible.,polish
73,environment_scatter.py,_add_leaf_card_canopy,637,—,B+,—,B+,,,,,polish
74,environment_scatter.py,_assign_scatter_material,146,—,B+,—,B+,,,,,polish
75,environment_scatter.py,_create_grass_card,826,—,B+,—,B+,,,,,polish
76,environment_scatter.py,_create_prop_template,1519,—,B+,—,B+,,,,,polish
77,environment_scatter.py,_create_template_collection,493,—,A-,—,A-,,,,,polish
78,environment_scatter.py,_create_vegetation_template,503,—,B,—,B,,,,,important
79,environment_scatter.py,_generate_combat_clearing,972,—,A-,—,A-,,,,,polish
80,environment_scatter.py,_prop_rotation,255,—,A-,—,A-,,,,,polish
81,environment_scatter.py,_rock_size_from_power_law,953,—,B,—,B,,,,,important
82,environment_scatter.py,_sample_heightmap_surface_world,334,—,A-,—,A-,,,,,polish
83,environment_scatter.py,_sample_heightmap_world,392,—,A,—,A,,,,,polish
84,environment_scatter.py,_scatter_pass,1057,—,B-,—,B-,,,,,important
85,environment_scatter.py,_terrain_axis_spacing_from_extent,417,—,A,—,A,,,,,polish
86,environment_scatter.py,_terrain_cell_size_from_extent,429,—,A,—,A,,,,,polish
87,environment_scatter.py,_terrain_height_sampler,261,—,B,—,B,,,,,important
88,environment_scatter.py,_vegetation_rotation,249,—,A-,—,A-,,,,,polish
89,environment_scatter.py,_world_to_terrain_uv,311,—,A-,—,A-,,,,,polish
90,environment_scatter.py,create_leaf_card_tree,744,—,B+,A-,A-,,,,,polish
91,environment_scatter.py,handle_create_breakable,1638,B-,B-,A-,B,UE5 Chaos destructible,Named handler for breakable props.,Not inspected; breakable meshes require fracture data typically not generable in Blender handler.,Wire to a proper fracture pipeline (Cell Fracture addon).,polish
92,environment_scatter.py,handle_scatter_props,1565,B,B,A,B+,UE5 PCG prop scatter,Sibling to vegetation scatter; likely reuses infrastructure.,Not deeply inspected.,Ensure parity with vegetation scatter exclusions.,polish
93,environment_scatter.py,handle_scatter_vegetation,1266,A-,B-,B,B,UE5 PCG vegetation / SpeedTree foliage pipeline,Poisson disk sampling + biome-filtered placement + slope rejection + moisture filter + building/road exclusion zones with proportional margins + collection instances (not individual objects) for performance + per-template billboard LOD setup. Production-oriented.,Exclusion-zone loop is O(objects * placements) — slow with many plots; billboard threshold is vertex-count based rather than screen-coverage aware.,Spatial hash for exclusion; hysteresis on LOD switch.,important
94,terrain_advanced.py,TerrainLayer,,—,—,A,A,,,,,
95,terrain_advanced.py,TerrainLayer.__init__,468,B+,—,—,B+,Gaea Layer / World Machine Layer View / Houdini Heightfield Layer,"Enforces a validated blend-mode enum, uses __slots__, zeroed float64 numpy storage, and clamps strength to [0,1] for predictable blend behavior.","Stores only heights — no mask/visibility channel, no per-layer bounding box, no dirty-region tracking — AAA layer systems also carry mask, opacity, and material-ID channels.","Add an optional mask numpy array, a visibility flag, and a dirty-rect for incremental flatten_layers.",polish
96,terrain_advanced.py,TerrainLayer.from_dict,497,C+,—,—,C+,Layer deserialization,"Mirrors to_dict exactly, uses defaults for missing blend_mode/strength, and reshapes to declared shape.","No schema versioning, no validation of data length vs shape, crashes if 'data' key missing — not robust for forward/backward compatibility.","Add a 'version' field, validate len(data) == shape[0]*shape[1], and support npy/base64 payloads.",polish
97,terrain_advanced.py,TerrainLayer.to_dict,486,C,—,—,C,Layer serialization in Gaea .tor / UE Landscape layer cache,Simple round-trippable dict matching from_dict with full data included.,"Serializes the entire heightmap as a plain Python list via tolist() — for a 512x512 layer that is 256K JSON-encoded floats stored on a Blender ID-property; no compression, no npz fallback, massive file bloat.","Use base64-encoded numpy .npy bytes (or numpy.save into a BytesIO) with a schema version, and store large blobs as external .npz files referenced by hash.",important
98,terrain_advanced.py,_auto_control_points,74,—,A-,—,A-,,,,,polish
99,terrain_advanced.py,_cubic_bezier_point,50,—,A,—,A,,,,,polish
100,terrain_advanced.py,_detect_grid_dims,24,—,B-,—,B-,,,,,important
101,terrain_advanced.py,apply_layer_operation,511,C+,B,A,B,Gaea brush ops / UE Landscape sculpt brushes (raise/lower/smooth/noise),"Correctly maps world→grid via terrain_origin center-offset, supports 5 operations, uses elliptical bounds and smooth falloff, and returns affected cell count.","Pure-Python double loop over the brush rect kills performance on 1024+ grids; 'smooth' uses a 3x3 box (not Gaussian); 'noise' is per-cell gauss (unbounded, non-spatially-coherent — AAA uses simplex/perlin at brush scale); 'stamp' replaces instead of blends.","Vectorize via numpy masked ops, replace smooth with scipy gaussian_filter or separable 5x5 Gaussian, replace noise with simplex noise sampled at brush-scale frequency, and change stamp to add/blend with existing heights.",important
102,terrain_advanced.py,apply_stamp_to_heightmap,1247,C,C+,A,B-,UE Landscape import height stamp / Gaea Stamp apply,"Correct world→grid mapping, elliptical bounds, and per-cell falloff gating.",The blend math `edge_falloff*(1-falloff) + edge_falloff*falloff` algebraically collapses to just edge_falloff — the falloff parameter is inert; nearest-integer stamp sampling (no bilinear); additive only (no min/max/replace modes); rotation is unsupported.,"Fix the degenerate blend formula (lerp between hard and soft edges properly), add bilinear stamp sampling, expose add/max/replace/multiply blend modes, and add a rotation parameter.",critical
103,terrain_advanced.py,apply_thermal_erosion,1122,C+,B+,B+,B,Houdini Heightfield Erode Thermal / Gaea Thermal node,"Correct 4-neighbor talus-based slump with excess-fraction redistribution, stable iteration loop, and sensible defaults.",Pure-Python double loop is 100x slower than a numpy vectorized version; uses 4-neighborhood only (no diagonals) so scree fans look axis-aligned; no angle-of-repose per-material layer; returns .tolist() blowing memory for 512+ maps.,"Vectorize with numpy shift operations (np.roll + max), add 8-neighborhood with sqrt(2) distance scaling, and expose per-cell talus from a mask for multi-material slopes.",important
104,terrain_advanced.py,compute_erosion_brush,795,C-,B,A+,B,Gaea Erosion brush / World Machine Erosion / Houdini Heightfield Erode,"Three named modes under a single brush API, preserves source value range post-NaN scrub, and uses falloff-weighted transfer.","Hydraulic model has no sediment/water channels — it is a slope-redistribution stencil with a hardcoded 0.1 factor, nothing like the Mei-Hill or particle-based hydraulic solvers used by Gaea/Houdini; wind erosion is literally gauss() with fixed +X deposit; thermal duplicates apply_thermal_erosion weakly; pure-Python nested loops make it unusable for brushes over ~64px.",Replace hydraulic with a particle-based droplet solver (Hans-Beyer) or MEI full-shallow-water with sediment/water/flux fields; vectorize with numpy; add anisotropic wind with a direction vector.,critical
105,terrain_advanced.py,compute_falloff,258,B+,B,A,B+,Gaea/World Machine brush falloff curve / UE Landscape brush falloff presets,"Provides 4 named falloff shapes (smooth cosine, sharp quadratic, linear, constant) with clear clamping and a sensible error on unknown type.","No custom curve/ramp support — AAA brush tools expose user-authored Bezier/AnimationCurve falloffs and additional presets (smoothstep, sphere, inverse-square).","Accept an optional list-of-(t,value) control-point curve or smoothstep variant, and cache the four built-in shapes as numpy LUTs for vectorized callers.",polish
106,terrain_advanced.py,compute_flow_map,999,B-,A-,A,B+,Houdini Heightfield Flow / Gaea Flow node,Correct textbook D8 flow direction + top-down flow-accumulation by sorted height + full drainage-basin labelling with cycle guard.,Pure-Python triple-nested loop makes it prohibitive for >256 grids (minutes on 512); D8 has known artifacts (parallel channel stripes) — AAA uses D-infinity (Tarboton) or multiple-flow-direction; no pit-filling pre-pass so internal pits create spurious basins; returns .tolist() which balloons memory.,"Vectorize flow direction with numpy roll tricks, add a Planchon-Darboux pit-fill pre-pass, offer D-inf / MFD alternatives, and return numpy arrays optionally.",important
107,terrain_advanced.py,compute_spline_deformation,281,B-,B,A,B+,Gaea Route / Houdini Heightfield Project Path / UE Landscape Spline Deform,Implements four deformation modes (carve/raise/flatten/smooth) with a tidy core+blend-zone falloff split and proper flatten-to-spline-height interpolation.,"Only modifies vertex Z without blending lateral shoulders into valley walls; 'smooth' mode degenerates to a weak pull-toward-spline-Z with no neighborhood averaging; no cross-section profile (flat bottom, bank angles, cutbanks).",Add a user-provided cross-section curve (width vs depth) and a proper Laplacian smoothing pass for mode='smooth'; raymarch along spline normal to produce true trench/berm profiles.,important
108,terrain_advanced.py,compute_stamp_heightmap,1202,C,A-,A,B+,Gaea Stamp / Houdini Heightfield Noise/Stamp library,Six named radial stamps (crater/mesa/hill/valley/plateau/ridge) plus custom heightmap passthrough with a clean enum-validated API.,"All built-in stamps are trivially analytic radial functions — a real crater has an asymmetric rim with ejecta rays and a central peak; a mesa has fracture patterns; these look like math primitives, not terrain features; fixed 64px resolution truncates detail.","Replace built-ins with real heightmap tiles (PNG/EXR library) — craters with ejecta blankets, mesas with ridge noise overlay, plus FFT-resampling to arbitrary resolution; keep analytic shapes only as fallbacks.",critical
109,terrain_advanced.py,distance_point_to_polyline,163,B+,A-,A,A-,Houdini xyzdist() / UE Landscape Spline closest-point query,Correct XY-projected segment closest-point with normalized t-along-spline output and proper degenerate-segment handling.,Brute-force O(N*M) scan of every polyline segment per vertex — AAA toolchains use spatial acceleration (BVH or uniform grid) and typically query in 3D not just XY.,Build a segment AABB grid or BVH once per spline and query per-vertex; optionally offer 3D distance for vertical splines.,important
110,terrain_advanced.py,evaluate_spline,132,B,B+,A,B+,Houdini Spline SOP / UE5 Spline Component evaluation,Clean Catmull-Rom-style tangent estimation via cubic Bezier segments with configurable tension produces C1-smooth polylines suitable for road/river paths.,"Uses fixed uniform parameter sampling (no arc-length reparameterization), so point density clumps on tight curves and spreads on straights — AAA spline tooling samples by arc length for even corridor width.",Add arc-length reparameterization pass (cumulative segment length lookup) and expose a tolerance-based adaptive subdivision for curvature.,important
