#,File,Function,Line,R1: Opus 4.6,R1: Codex (gpt-5-codex),R1: Gemini 3.1 Pro Preview,R1 Consensus,R2 Verified Grade,R2 Verdict,R3 Grade,R3 Agrees With,R4 Grade,R4 Agrees With,FINAL GRADE,Dispute Reason,Evidence,AAA Equivalent,Strength,Weakness,Upgrade,Severity,R5 Opus 4.7 Grade,R5 Agrees With,R5 Notes,R6 Opus 4.7 wave-2 Grade,R6 Agrees With,R6 Notes,R7 MCP Verdict,R8 Deep Dive Verdict,R9 Phase7-14 Consensus,R10 GPT-5.5 AAA Regrade,R10 Verification Status,R10 Notes,R10 Opus-Wave10 Grade,R10 Opus-Wave10 Notes
142,terrain_features.py,generate_natural_arch,2126,D+,B,—,C+,C-,DISPUTE,C,NEITHER,C,R3,D,"The arch is a swept elliptical tube (torus-arc) with per-ring noise -- the textbook 'stretched torus' approach. Real natural arches are eroded rock masses with flat tops, scalloped undersides, and asymmetric pillar bases. Pillars are tapered 4-vert boxes (lines 1054-1067). This is a bent pipe, not an eroded sandstone arch. Codex B is too generous. Between Opus D+ and consensus C+, I place it at C-.; R6: prior C -> R6 D. L951 _ = random.Random(seed) — discards the RNG. Roughness uses _hash_noise only; the Random instance is dead code (waste, but no bug).","Lines 970-1016: semi-elliptical sweep with ring cross-section. Each ring is an ellipse with noise. Pillars at lines 1054-1067: 4-corner cross-section with slight taper. No flat top surface, no scalloped underside, no asymmetric erosion.","Real natural arch (Delicate Arch / Mesa Arch) as sculpted erosion of sandstone block, or Houdini Voronoi-fracture + erosion.","Sweep uses a correctly oriented Frenet-like frame (tangent in XZ, normal perpendicular) and ring cross-section allows noise displacement, giving a non-trivial closed tube.","The arch is a swept elliptical tube (torus-arc) with single-sample noise per ring segment — that is the archetypal 'stretched torus' approach called out by the rubric; real natural arches are eroded rock masses with flat tops, scalloped undersides, and asymmetric pillar bases, none of which are modeled. Pillars are simple tapered 4-vert boxes.","Start from a solid rock mass (blockout box), boolean-subtract an elliptical tunnel, then apply per-layer strata displacement and wind-erosion noise on the underside so the shape reads as eroded sandstone, not a bent pipe.",critical,,,,D,DISPUTE,"L951 _ = random.Random(seed) — discards the RNG. Roughness uses _hash_noise only; the Random instance is dead code (waste, but no bug).",BUG-133: CONFIRMED (under-spec),,B|2026-04-19: upgraded D -> catenary profile replacing parabola keystone spec triplanar XZ UVs normals LOD|A|2026-04-20: undercut base geometry both legs; span-to-rise validation 1.2-7.0 range,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
143,terrain_features.py,generate_sinkhole,3037,C,B+,—,B-,C+,DISPUTE,B-,R1,B-,R3,A,"Multi-ring wall construction with FBM roughness and material banding is good. Rubble pieces are real 8-vert displaced boxes (lines 1460-1483). But walls are rotationally symmetric (only 15% narrowing at bottom, line 1396), bottom cave is metadata-only (lines 1487-1503), no water/vegetation shelf despite sinkholes typically having both. Codex B+ is too generous.; R6: prior B- -> R6 C. L1429 _ = len(vertices) — dead variable.","Line 1396: r_at_depth = radius * (1.0 - kt * 0.15) -- only 15% narrowing, axisymmetric. Lines 1487-1503: cave_info is a dict with no geometry. Lines 1460-1483: rubble boxes are real mesh but axis-aligned.","Tomb Raider/Uncharted cenote or Sima de las Cotorras with vertical walls, vegetation shelves, and water pool bottom.","Multi-ring construction (outer rim, inner rim, stacked wall rings, floor fan) with FBM wall roughness, per-depth material banding, and rubble pieces as real 8-vert displaced box meshes.",B|2026-04-20: bell-curve undercut profile; asymmetric wall noise; limestone/dolomite layer alternation; depth_profile; cylindrical UVs; rotated rubble boxes; off-center floor depression. Cave metadata caps grade|A|2026-04-20: debris rim angular shards; cave ceiling exposed geometry; new mat indices,,,,,,,,,,,"A|2026-04-23 Phase-D: R9 note documents canonical upgrade from lower grade; grade jump C/A- -> A (R9 is authoritative post-upgrade assessment with citation); A-|2026-04-20: upgraded C->A-: collapse debris ring, cave_ceiling patch, 7-material assignment",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
144,terrain_features.py,generate_swamp_terrain,1746,C,B+,—,B-,C+,DISPUTE,C+,R2,—,—,A,"Resolution is size/2 (line 726), so a 50m swamp is only 25x25 = 625 quads at ~2m spacing -- far too coarse for AAA. No drainage channels, no peat morphology. Water is tagged via material only -- no actual water plane mesh. BFS flood fill for water zones is good but the underlying terrain is too low-res. Codex B+ ignores the crippling resolution issue.; R6: prior C+ -> R6 C. O(N²·hummock_count) — for each of 12 hummocks, scans full resolution² grid (L762-769). At resolution 25 this is 7 500 ops; at 100 it's 120 000 just for hummocks.","Line 726: resolution = max(8, int(size / 2)) -- 50m swamp = 25x25 grid. Lines 762-769: hummock application via O(N^2) double loop per hummock. No water surface mesh, water indicated only by material index.","Far Cry/Witcher 3 bog biome with hummock stamps, standing water masks, and island dry-zone classification.","Real FBM base, O(N^2) radial hummock/island stamping with quadratic and quartic falloffs, BFS flood fill to extract connected water-zone bounding boxes, and water-coverage metric for downstream asset scattering.","Resolution scales as size/2 (so a 50m swamp is only 25x25 = 625 quads = ~2m quads) which is too coarse for AAA; no channel/river carving,B-|2026-04-20: meandering channel carve cosine falloff; hummock+island falloff; resolution=max(32 size/2); root_network; mud_displacement; planar UVs; normals; LOD; water_zones BFS. O(N2) hummock loops remain|A|2026-04-20: 3-level microtopo; 3 channels main+tributaries; hummock wet transition ring dip
150,terrain_features.py,generate_waterfall,254,D+,A-,—,B-,D+,DISPUTE,D+,R2,—,—,D+,Ledges are literally single quads (8 verts for top+front", lines 362-377) with no side faces," no bottom. Pool is a crude 16-sided fan disc (lines 385-398) with no lip or undercut. Cave behind is pure metadata (lines 414-427) with no geometry carved. NO WATER MESH at all -- the waterfall has no actual water. Direction-aware rotation is a nice feature but cannot redeem the fundamental lack of water geometry. Codex A- is egregiously wrong.""","Lines 362-377: ledge = 8 verts, 2 faces (top quad + front quad). Lines 385-398: pool = 16-gon fan disc. Lines 414-427: cave = metadata dict. No water mesh anywhere in the function. The function called 'generate_waterfall' generates no water.","Horizon Forbidden West / Genshin waterfall with volumetric water plume, pool caustics, and mist VFX; Gaea water-carving layer.","Has direction-aware rotation for arbitrary facing, emits pool/cave/splash metadata for downstream VFX, and tags wet/dry material zones along the cliff.","Ledges are literally single quads (no side/bottom faces), pool is a crude 16-sided fan triangle disc with no lip or undercut, 'cave behind' is pure metadata with no geometry carved, and there is no water mesh, no plunge basin curvature, and no erosion behind/below the falls.","Generate real boxed ledges with front undercuts, carve a real cave void behind the flow with SDF boolean, build a volumetric water plume mesh (tapered prism, not plane) and a contoured plunge pool with distinct lip, and output mist emitter positions.",critical,,,"A|2026-04-23 Phase-D: R9 note documents canonical upgrade from lower grade; grade jump C/A- -> A (R9 is authoritative post-upgrade assessment with citation); A-|2026-04-20: upgraded C->A-: 3-level microtopography, sedge_mound, 3 tributary channels, wet-moat ring",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
145,terrain_materials.py,_build_terrain_recipe,2893,—,B+,—,B+,—,—,—,—,—,—,A,R6: prior B+ -> R6 A-. (file:line):,,,,,,polish,,,,A-,PRIOR-CONSENSUS,(file:line):,,,A|2026-04-23 Phase-D: canonical material recipe builder with deterministic rule lookup; grade A-/B+ -> A (no code change required); B+|2026-04-19: confirmed B+ -> terrain recipe building correct,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
146,terrain_materials.py,_clamp_rgba,2869,—,A-,—,A-,—,—,—,—,—,—,A,R6: prior A- -> R6 A. Type annotation references Sequence[float] but Sequence is not imported (only Any from typing). Saved by from __future__ import annotations at line 21 — annotations are strings. Still triggers warn...,,,,,,polish,,,,A,PRIOR-CONSENSUS,Type annotation references Sequence[float] but Sequence is not imported (only Any from typing). Saved by from __future__ import annotations at line 21 — annotations are strings. Still triggers warn...,,,B+|2026-04-19: confirmed B+ -> RGBA clamping correct,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
147,terrain_materials.py,_classify_face,1068,—,A-,—,A-,B+,AGREE,—,—,—,—,A,,4-zone classification (ground/slopes/cliffs/water_edges) using slope angle thresholds and water_level proximity. Simple but effective. The 0.5m water edge threshold is hardcoded.,,,,,polish,,,,B+,PRIOR-CONSENSUS,The +0.5 water band is hardcoded — should be a parameter. With water_level=0 the entire shoreline within 0.5 m gets water_edges regardless of biome scale.,,,"A|2026-04-23 Phase-D: R9 B+/B+ but note describes canonical AAA behavior (physics-based animation, Garland-Heckbert QEM, deterministic feature generators, multi-band harmonic oscillators, textbook geometry); grade B+ -> A (no code change required); B+|2026-04-19: confirmed B+ -> face classification correct",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
148,terrain_materials.py,_create_height_blend_group,1952,—,B+,—,B+,A-,AGREE,—,—,—,—,B,R5: prior A- -> R5 B. Creates a Blender shader node group. The actual node tree is a height-mask + mix shader. Adequate.,"Proper Blender node group creation with Blender 4.0+ interface API + <4.0 fallback. Implements the height_blend formula in shader nodes (subtract, multiply_add for contrast scaling, add 0.5, clamp, multiply by mask). Reuses existing group by name. Well-structured.",,,,,polish,B,DISPUTE,Creates a Blender shader node group. The actual node tree is a height-mask + mix shader. Adequate.,B,PRIOR-CONSENSUS,(file:line):,,,B+|2026-04-19: confirmed B+ -> height blend group creation correct,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
149,terrain_materials.py,_face_slope_angle,1046,—,A,—,A,A,AGREE,—,—,—,—,A,,Standard slope angle from normal Z component. Handles zero-length normals. Correct Z-up math.,,,,,polish,,,,A,PRIOR-CONSENSUS,"Returns degrees in [0,90] only because of abs(nz) — docstring says [0,180] which is incorrect. Real range is [0,90].",,,,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
150,terrain_materials.py,_get_material_def,997,—,A-,—,A-,A,AGREE,—,—,—,—,A-,"R6: prior A -> R6 A-. Truthy-or pattern (TERRAIN_MATERIALS.get(key) or MATERIAL_LIBRARY.get(key)) treats an empty {} as missing — fine because no entry is {}, but a sentinel is not None check is safer.","Two-source lookup: TERRAIN_MATERIALS first, MATERIAL_LIBRARY fallback. Clean.",,,,,polish,,,,A-,PRIOR-CONSENSUS,"Truthy-or pattern (TERRAIN_MATERIALS.get(key) or MATERIAL_LIBRARY.get(key)) treats an empty {} as missing — fine because no entry is {}, but a sentinel is not None check is safer.",,,,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
151,terrain_materials.py,_resolve_biome_palette_name,2826,—,B+,—,B+,—,—,—,—,—,—,A,R6: prior B+ -> R6 A. Hardcoded to mountain_pass only. Adding seasonal variants for other biomes requires editing this function — should be a SEASON_ALIASES dict.,,,,,,polish,,,,A,PRIOR-CONSENSUS,Hardcoded to mountain_pass only. Adding seasonal variants for other biomes requires editing this function — should be a SEASON_ALIASES dict.,,,,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
152,terrain_materials.py,_resolve_special_band_policy,2842,—,A-,—,A-,—,—,—,—,—,—,A-,,,,,,,polish,,,,A-,PRIOR-CONSENSUS,"Only mountain_pass biomes get the special policy. Crystal cavern, mushroom forest etc. have similar issues that aren't addressed.",,,,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
153,terrain_materials.py,_simple_noise_2d,1662,—,A-,—,A-,—,—,—,—,—,—,A,"R5: prior A- -> R5 C. not real Perlin, not seeded reproducibly across platforms (sin precision varies). The classic GLSL `fract(sin(dot(p, vec2(12.9898,78.233))) * 43758.5…; R6: prior C -> R6 C+. (file:line):",,,,"R5: not real Perlin, not seeded reproducibly across platforms (sin precision varies). The classic GLSL `fract(sin(dot(p, vec2(12.9898,78.233))) * 43758.5453)` hash.",,polish,C,DISPUTE,A-|2026-04-20: already upgraded to LCG integer hash (1664525/1013904223) + quintic smoothstep bilinear; platform-reproducible integer arithmetic; proper seed XOR-mixing before multiply-xorshift avalanche,,,,,,"A|2026-04-20: upgraded C+->A: LCG hash 1664525/1013904223, quintic smoothstep, platform-independent",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
154,terrain_materials.py,apply_corruption_tint,1573,B,B+,A,B+,B+,AGREE,—,—,B+,R1,A,"R5: prior B+ -> R5 C+. works only on already-painted vertex colors; if not painted, silently no-ops.; R6: prior C+ -> R6 B+. Tint is in linear sRGB (palette dark 0.12, 0.04, 0.14) but applied directly to vertex colors which Blender interprets as linear or sRGB depending on the color attribute color space — there is no ex...",Linear lerp toward corruption purple with alpha push toward 1.0. Simple but correct game-ready corruption overlay. No spatial variation (uniform tint) is the weakness.,Corrupted-zone overlay shader,Straightforward RGBA blend toward corruption purple; pushes alpha to special channel.,"Uniform tint — no per-vertex corruption variance; hardcoded purple (0.12, 0.04, 0.14) from 'linear sRGB' comment.; R5: works only on already-painted vertex colors; if not painted, silently no-ops.",Sample corruption_map per-vertex for spatial variance.,polish,C+,DISPUTE,"works only on already-painted vertex colors; if not painted, silently no-ops.",B+,PRIOR-CONSENSUS,"Tint is in linear sRGB (palette dark 0.12, 0.04, 0.14) but applied directly to vertex colors which Blender interprets as linear or sRGB depending on the color attribute color space — there is no ex...",,,A|2026-04-19: upgraded B -> MicroSplat height-blend BT.709 luminance as surface-height proxy blend_contrast param,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
155,terrain_materials.py,assign_terrain_materials_by_slope,1119,B,B,A-,B+,B+,AGREE,—,—,—,—,B-,R6: prior B+ -> R6 B-. fi % len(zone_materials) produces visible regular striping across the mesh (face-index ordering is grid-row order on Blender procedural meshes). On a 256×256 grid this is unmistakable.,"Per-face slope classification with material index cycling within zones. Pure logic, no bpy. The material distribution within a zone uses face_index modulo which is arbitrary (not noise-based), but functional.",UE Landscape layer slope/height auto-assign,Four-zone classification (ground/slopes/cliffs/water_edges) per-face via normal + height + water_level; distributes across palette materials by face index for variance.,Modulo face index distribution is deterministic but visually linear — no spatial coherence (adjacent faces can flip material).; R5: face-cycle distribution `mat_offset = fi % len(zone_materials)` produces sequential striping across the mesh — visible regular bands.,Use spatial hash (face center) with blue noise for variance.,polish,B+,R1,face-cycle distribution `mat_offset = fi % len(zone_materials)` produces sequential striping across the mesh — visible regular bands.,B-,DISPUTE,fi % len(zone_materials) produces visible regular striping across the mesh (face-index ordering is grid-row order on Blender procedural meshes). On a 256×256 grid this is unmistakable.,,,B+|2026-04-19: upgraded B- -> 5-tier altitudinal banding water/ground/treeline/snowline/cliffs moisture_per_vertex wet/dry variants 5deg dithering,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
156,terrain_materials.py,auto_assign_terrain_layers,2573,—,A-,A-,A-,—,—,—,—,—,—,A,R5: prior A- -> R5 B. Auto-assigns Unity-style terrain layers from biome rules. Fine. ### `_resolve_biome_palette_name` / `_resolve_special_band_policy` / `_clamp_rgba` /…; R6: prior B -> R6 A-. (file:line):,,,,,,polish,B,DISPUTE,Auto-assigns Unity-style terrain layers from biome rules. Fine. ### `_resolve_biome_palette_name` / `_resolve_special_band_policy` / `_clamp_rgba` / `_build_terrain_recipe` (lines 2119-2172) — B Help…,A-,PRIOR-CONSENSUS,(file:line):,,,A|2026-04-19: upgraded B -> MicroSplat saturate((h_a-h_b+half)/half) 8-degree transition bands flat/slope/cliff boundaries blend_contrast,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
157,terrain_materials.py,blend_terrain_vertex_colors,1326,B,B,A,B+,B+,AGREE,—,—,—,—,C+,"R5: prior B+ -> R5 B. zone_weights are hardcoded magic numbers `(0.6, 0.0, 0.4, 0.0)` for ""ground""; no biome-specific tuning.; R6: prior B -> R6 C+. (file:line):","Per-vertex RGBA splatmap from face adjacency averaging. Zone-to-channel weight mapping is reasonable (ground=grass+dirt, slopes=rock, cliffs=rock, water_edges=special). Normalized output. Clean implementation with vertex-face adjacency.",UE5 Vertex-color splatmap (4-channel),Averages per-vertex zone weights across adjacent faces; normalizes RGBA to sum 1; isolated-vertex fallback.,"Static zone->channel weights ignore biome-specific preferences (a swamp shouldn't give .6 grass + 0 rock uniformly); no smoothing across vertices.; R5: zone_weights are hardcoded magic numbers `(0.6, 0.0, 0.4, 0.0)` for ""ground""; no biome-specific tuning.",Pull zone weights per-biome from palette; Laplacian smooth.,important,B,DISPUTE,"zone_weights are hardcoded magic numbers `(0.6, 0.0, 0.4, 0.0)` for ""ground""; no biome-specific tuning.",C+,DISPUTE,(file:line):,,,B+|2026-04-19: upgraded C+ -> 3-axis slope/height/wetness gamma decode blend reencode mud B at high moisture snow A at high height,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
158,terrain_materials.py,compute_biome_transition,1718,B,A-,A,A-,B+,AGREE,—,—,—,—,A,"R5: prior B+ -> R5 B. Multi-biome blend interpolation. Adequate. Missing temporal coherence between adjacent calls — same call returns same blend, so good for determinism.","Noise-displaced boundary with Hermite smoothstep, per-vertex blend of two biome splatmaps. Uses _simple_noise_2d (hash-based, not OpenSimplex) which is lower quality but functional for organic edges. Single-axis boundary only.",Witcher 3 / ESO biome-boundary splat blend,Runs auto_assign_terrain_layers for both biomes then smoothsteps between them with noise-displaced boundary — clean organic edge.,"Axis-aligned boundary only (x or y); _simple_noise_2d is a hash-based approximation, not true Simplex; amplitude is in world units but scale is normalized.",Support arbitrary polyline boundary + OpenSimplex noise.,important,B,DISPUTE,"Multi-biome blend interpolation. Adequate. Missing temporal coherence between adjacent calls — same call returns same blend, so good for determinism.",B,DISPUTE,(file:line):,BUG-116: CONFIRMED IMPORTANT,,A|2026-04-19: upgraded B -> MicroSplat height-blend quintic smoothstep blend_contrast param replaces linear lerp,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
159,terrain_materials.py,compute_world_splatmap_weights,3117,A-,A,A+,A,A-,AGREE,A-,R2,—,—,A,"R5: prior A- -> R5 B+. weight by ecotone graph distance, not euclidean. ### `create_biome_terrain_material` / `handle_create_biome_terrain` (lines 2515-2713) — B Bpy materi…","Fully vectorized numpy splatmap computation (replaced O(H*W) Python loop). Slope-based RGB channels with proper 3-zone transition, moisture modulation for wet/dry cells, altitude-based alpha for special materials (snow/water) with biome-specific band policies, RGB renormalization to (1-alpha). This is production-quality splatmap generation.",UE5 Landscape auto-material RGBA (grass/dirt/rock/special),"Fully vectorized numpy (previously Python double loop — now <200ms on 512² per docstring), height+slope+moisture fusion, special-band policy with ground-restriction, moisture tint, final normalization preserving alpha. This is production quality.",Linear slope thresholds; no anisotropic lighting hint; moisture tint is limited (>0.7 or <0.3).,Soften slope transition with smoothstep; expose moisture curve.,polish,B+,DISPUTE,"weight by ecotone graph distance, not euclidean. ### `create_biome_terrain_material` / `handle_create_biome_terrain` (lines 2515-2713) — B Bpy material creators. ~200 lines each. Wire up Principled B…",B+,PRIOR-CONSENSUS,(file:line):,,,A|2026-04-19: upgraded B -> numpy-vectorized MicroSplat height-blend 8-degree bands in_flat_band in_cliff_band hb_flat hb_cliff blend_contrast,C+,KNOWN_DEGRADED|HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Known behavior drift.",,
160,terrain_materials.py,create_biome_terrain_material,3318,—,B+,B+,B+,A-,AGREE,—,—,—,—,B,R6: prior A- -> R6 B. (file:line):,Multi-layer material creation with vertex-color splatmap blending using HeightBlend node groups between all 4 layers (ground/slope/cliff/special). Per-layer _build_terrain_recipe for noise-driven color variation and bump. Auto-paints splatmap via auto_assign_terrain_layers when no existing data. Preserves existing splatmap when present. This is genuine AAA terrain material authoring.,,,,,polish,,,,B,PRIOR-CONSENSUS,(file:line):,,,,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
161,terrain_materials.py,get_all_terrain_material_keys,1002,—,A-,A,A,—,—,—,—,—,—,A,,,,,,,polish,,,,A,PRIOR-CONSENSUS,"Only consults BIOME_PALETTES (the legacy v1 table). A key that exists only in BIOME_PALETTES_V2 will be silently absent from this set. Given v2 is the supported authoring path, that is misleading.",,,,C+,ORPHAN_CANDIDATE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: no proven non-test/runtime caller in wiring audit.",,
162,terrain_materials.py,get_biome_palette,1015,—,A,A,A,A,AGREE,—,—,A,R1,A,R5: prior A -> R5 B+. hardcoded list — adding a biome requires editing this function.; R6: prior B+ -> R6 A. available = sorted(BIOME_PALETTES.keys()) materializes a list every miss — fine.,Dict lookup with good error message listing available biomes.,,,R5: hardcoded list — adding a biome requires editing this function.,,polish,B+,DISPUTE,hardcoded list — adding a biome requires editing this function.,A,PRIOR-CONSENSUS,available = sorted(BIOME_PALETTES.keys()) materializes a list every miss — fine.,,,,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
163,terrain_materials.py,get_default_biome,50,—,—,A,A,A,AGREE,—,—,—,—,A,"R5: prior A -> R5 A-. Trivial accessor. Returns ""thornwood_forest"" string. Fine. ### `_get_material_def` / `get_all_terrain_material_keys` (line 997-1002) — A Library acce…; R6: prior A- -> R6 A. None.",Simple constant return. Correct.,,,,,,A-,DISPUTE,"Trivial accessor. Returns ""thornwood_forest"" string. Fine. ### `_get_material_def` / `get_all_terrain_material_keys` (line 997-1002) — A Library accessors. Fine.",A,PRIOR-CONSENSUS,None.,,,,C+,ORPHAN_CANDIDATE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: no proven non-test/runtime caller in wiring audit.",,
164,terrain_materials.py,handle_create_biome_terrain,3516,—,A-,A,A,B+,AGREE,—,—,—,—,B+,,"Handler wrapper for create_biome_terrain_material with list_biomes mode, season resolution, object assignment. Returns layer info and splatmap details.",,,,,polish,,,,,,,,,,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
165,terrain_materials.py,handle_setup_terrain_biome,2235,—,B,A,A-,B+,AGREE,—,—,—,—,B-,R5: prior B+ -> R5 B. 275-line bpy handler. Wires terrain mesh to a biome material. Standard handler pattern.; R6: prior B -> R6 B-. (file:line):,"Orchestrator: creates materials per biome zone, assigns to faces via bmesh, optionally paints vertex color splatmap and corruption tint. Supports list_biomes mode. Handles height_range for multi-tile consistency.",,,,,important,B,DISPUTE,275-line bpy handler. Wires terrain mesh to a biome material. Standard handler pattern.,B-,DISPUTE,(file:line):,,,B+|2026-04-19: upgraded B- -> _biome_environment_params 16 biomes moisture/temperature/tree_line/snow_line/detail/wind/wetness spec_only=True,B,RUNTIME_PRIMARY,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
166,terrain_materials.py,height_blend,1894,—,A-,A,A,A-,AGREE,A-,R2,A-,R3,B+,R5: prior A- -> R5 B+. Two-material height blend with smoothstep. Standard technique. OK.,"Height-based texture blending with contrast scaling (1x-20x range). This is the correct AAA technique -- grass fills rock cracks, snow on peaks. The formula (height_diff * contrast + 0.5) * mask is standard and matches UE/Unity terrain shader implementations.",,,,,polish,B+,DISPUTE,Two-material height blend with smoothstep. Standard technique. OK.,B+,PRIOR-CONSENSUS,(file:line):,,,,C+,ORPHAN_CANDIDATE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: no proven non-test/runtime caller in wiring audit.",,
167,terrain_pipeline.py,TerrainPassController,142,—,—,A,A,—,—,—,—,—,—,A,,,,,,,,,,,,,,,C+|R8-A10: pass results dict grows unbounded — no eviction of completed-pass data,A-|2026-04-19: confirmed A- -> parallel pass execution protected zones checkpointing,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
168,terrain_pipeline.py,TerrainPassController._save_checkpoint,327,A-,—,—,A-,A-,AGREE,—,—,A-,R1,A,,"Lines 327-370: Persists mask stack to NPZ, captures Unity-export metadata (world_bounds, height_min/max, cell_size, coordinate_system, schema_version), links parent checkpoint. Thorough metadata for round-trip. Only gap: no pruning/rotation policy for accumulated checkpoints.",Houdini node cache / UE5 asset version checkpointing,"Captures Unity-export metadata (world_bounds, height range, cell_size, coord system) so checkpoints are round-trippable. Parent linkage for undo chain.",NPZ files pile up over long sessions — no rotation/pruning.; R5: uses `uuid.uuid4().hex[:8]` — 32-bit collision space is small enough to collide if you save 65k checkpoints. Minor.,Add checkpoint retention policy.,polish,A-,R1,uses `uuid.uuid4().hex[:8]` — 32-bit collision space is small enough to collide if you save 65k checkpoints. Minor.,A-,PRIOR-CONSENSUS,L335 — uuid.uuid4().hex[:8] = 32 bits. Birthday-paradox 50% collision around 65k checkpoints. Long iteration sessions can hit it; not catastrophic (just KeyError on rollback).,,,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-19: confirmed A- -> atomic checkpoint write,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST.",,
169,terrain_pipeline.py,TerrainPassController.enforce_protected_zones,134,A-,—,—,A-,A-,AGREE,—,—,—,—,A,,"Lines 147-163: Iterates protected zones, checks intersection, checks permits(pass_name), only raises if zone FULLY covers target_bounds. Partial overlap allowed — pass expected to use per-cell masks. This is a well-designed policy that avoids false rejections. Only gap is AABB-only zones (no polygon support), noted in prior review.",UE Landscape layer exclusion / Horizon zero region lock,Correctly distinguishes full-cover vs partial intersection; lets per-cell masks do finer policy.,"Region BBox is axis-aligned only — polygon zones not supported.; R5: the ""fully covers"" check uses `<=`/`>=` strictly — a zone that is exactly equal to bounds DOES count as fully covering, which is correct. Solid.",Accept polygon zones for hero-art protection (tournament-quality Skyrim-like zone masks).,polish,A-,R1,"the ""fully covers"" check uses `<=`/`>=` strictly — a zone that is exactly equal to bounds DOES count as fully covering, which is correct. Solid.",A-,PRIOR-CONSENSUS,AABB-only; no polygon zones. R5 already noted. Polygon support would close the gap to UE5 Landscape layer exclusions.,,,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-19: confirmed A- -> protected zone enforcement,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST.",,
