#,File,Function,Line,R1: Opus 4.6,R1: Codex (gpt-5-codex),R1: Gemini 3.1 Pro Preview,R1 Consensus,R2 Verified Grade,R2 Verdict,R3 Grade,R3 Agrees With,R4 Grade,R4 Agrees With,FINAL GRADE,Dispute Reason,Evidence,AAA Equivalent,Strength,Weakness,Upgrade,Severity,R5 Opus 4.7 Grade,R5 Agrees With,R5 Notes,R6 Opus 4.7 wave-2 Grade,R6 Agrees With,R6 Notes,R7 MCP Verdict,R8 Deep Dive Verdict,R9 Phase7-14 Consensus,R10 GPT-5.5 AAA Regrade,R10 Verification Status,R10 Notes,R10 Opus-Wave10 Grade,R10 Opus-Wave10 Notes
125,terrain_caves.py,_world_to_cell,664,—,A-,—,A-,A-,AGREE,—,—,—,—,B,R6: prior A- -> R6 B. CONFLICT-03 (master Section 7). Uses int(round(...)) while terrain_waterfalls.py:130-131 uses int(...) (floor) and _water_network.py:424 uses cell-corner not cell-center. Net 2-meter drift per hand...,Standard coordinate conversion with clamping. Correct and simple. A- is fair.,,,,,polish,,,,B,DISPUTE,CONFLICT-03 (master Section 7). Uses int(round(...)) while terrain_waterfalls.py:130-131 uses int(...) (floor) and _water_network.py:424 uses cell-corner not cell-center. Net 2-meter drift per hand...,BUG-82: CONFIRMED,,,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
1710,_water_network.py,WaterNetwork.__init__,1602,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A-,"grade=A-; severity=low; strength=Clean state initialisation; defensive defaults for all caches including _seam_validation_result=None so first read never; weakness=No __slots__ — many WaterNetwork instances will have dict overhead; no shape validation on _heightmap_shape default (0,0); upgrade=Add __slots__ tuple for the dozen attributes"
1723,environment_scatter.py,generate_billboard_impostor (deprecation wrapper),67,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,B,grade=B; severity=low; strength=Properly emits DeprecationWarning with stacklevel=2 so callers see their own line; falls back to NotImplementedError whe; weakness=DeprecationWarning is emitted at every call (not once); no removal_version field on the warning; upgrade=Use warnings.warn_explicit or DeprecationWarning + once-per-callsite filter; document removal version in message
1733,terrain_texture_layer_stack.py,TextureLayer (dataclass),21,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A-,"grade=A-; severity=low; strength=Comprehensive PBR layer record: weight_map + albedo/normal/roughness/height_displacement/AO + metallic + color_space + t; weakness=color_space is free-form str ('sRGB','Linear') not Enum; no validation that albedo is sRGB and others are Linear; tiling_scale and texel_den; upgrade=Replace color_space with a StrEnum; add to_dict/validate methods"
1737,hunyuan3d2_provider.py,Hunyuan3D2Provider.__init__,89,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A-,"grade=A-; severity=low; strength=Clean three-mode init (HF Space default, HF Endpoint paid, local BLOCKED with helpful error); env-var override layered b; weakness=Local mode is hard-blocked even when user has 24GB VRAM — should detect and allow when supported. timeout_s init param redundant with genera; upgrade=torch.cuda.get_device_properties(0).total_memory >= 16GB unlock local mode; collapse two timeout_s args"
1738,hunyuan3d2_provider.py,Hunyuan3D2Provider._get_gradio_client,152,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A-,grade=A-; severity=medium; strength=Lazy import of gradio_client with helpful pip-install message; HF token threading from env; verbose=False to keep logs c; weakness=No retry on connection failure; no timeout on Client constructor (HF Space cold-start can take 60s+); upgrade=Wrap Client() in retry-with-backoff; explicit connection timeout
1739,hunyuan3d2_provider.py,Hunyuan3D2Provider._build_predict_kwargs,167,,,,,,,,,,,B+,,,,,,,,,,,,,,,,,,,,B+,"grade=B+; severity=low; strength=Documents the multimodal NameError gotcha (caption=None when image present); seeds correctly for reproducibility; qualit; weakness=Magic numbers (steps=30/5, octree=256/128, num_chunks=8000, guidance=5.0) not exposed as config; mv_image fields hardcoded None — no front/b; upgrade=Plumb steps/octree/guidance through AssetGenerationRequest"
1740,hunyuan3d2_provider.py,Hunyuan3D2Provider._hf_generate_blocking,188,,,,,,,,,,,B+,,,,,,,,,,,,,,,,,,,,B+,grade=B+; severity=medium; strength=Correctly handles texture-disabled fallback (catches NameError -> retries shape_only); robust _extract_path supports dic; weakness=Generic except Exception catches and re-raises only on non-NameError texture errors — could mask other Gradio errors; shutil.copy2 doesn't v; upgrade=Add SHA256 verification post-copy; subscribe to gradio_client progress events
1741,hunyuan3d2_provider.py,Hunyuan3D2Provider.submit,262,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A-,grade=A-; severity=medium; strength=Async-via-thread pattern: synthetic job_id + holder dict + lock-protected status transitions; daemon thread won't block ; weakness=Threads not bounded — submitting 100 jobs spawns 100 threads; no thread pool; tmp_dir leaked if process dies before download (no cleanup on ; upgrade=Use a shared concurrent.futures.ThreadPoolExecutor; register atexit cleanup for tmp_dirs
1742,hunyuan3d2_provider.py,Hunyuan3D2Provider.poll,288,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,A,grade=A; severity=none; strength=Lock-protected status read; KeyError on unknown job; weakness=None at this scope; upgrade=None
1743,hunyuan3d2_provider.py,Hunyuan3D2Provider.download,296,,,,,,,,,,,B+,,,,,,,,,,,,,,,,,,,,B+,"grade=B+; severity=medium; strength=Joins worker thread; handles FAILED with proper RuntimeError; cleans up tmp parent dir; logs the move; weakness=thread.join() without timeout — if worker hangs, download blocks forever (no timeout). shutil.copy2 + rmtree could leave partial state on di; upgrade=Pass thread.join(timeout=self._timeout_s) and raise TimeoutError on still-alive"
1744,hunyuan3d2_provider.py,Hunyuan3D2Provider.generate_blocking,329,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A-,"grade=A-; severity=low; strength=Direct path bypasses submit/poll/download overhead; bounded thread.join with TimeoutError; calls validate() with require; weakness=BaseException catch is too broad (catches KeyboardInterrupt, SystemExit) — should be Exception; result_box pattern is verbose vs concurrent.; upgrade=Replace thread+box pattern with concurrent.futures.ThreadPoolExecutor.submit"
1745,meshy_provider.py,_get_requests,57,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,A,grade=A; severity=none; strength=Lazy import with helpful pip message; module-level caching not needed since requests itself caches; weakness=None; upgrade=None
1746,meshy_provider.py,MeshyProvider.__init__,80,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A-,"grade=A-; severity=low; strength=Required-key check raises early; default ai_model=meshy-4 + topology=quad match Meshy v2 best practices; logs init param; weakness=No api_key validation against the API endpoint at init (errors deferred until first submit); timeout_s init redundant with generate_blocking; upgrade=Optional eager-validate via requests.get('/openapi/v2/me', timeout=5)"
1747,meshy_provider.py,MeshyProvider._auth_headers,120,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,A,grade=A; severity=none; strength=Trivial bearer-token header builder; weakness=None; upgrade=None
1748,meshy_provider.py,MeshyProvider._poll_raw,123,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A-,grade=A-; severity=medium; strength=Clean GET with raise_for_status + 30s timeout; returns parsed JSON; weakness=30s timeout might be too aggressive for cold-cached results; no retry on transient 5xx; upgrade=Mount urllib3 Retry adapter on a session; raise after 3 attempts
1749,meshy_provider.py,MeshyProvider.submit,135,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A-,grade=A-; severity=medium; strength=Image-to-3D and text-to-3D both supported; correct base64 + MIME detection from extension; sane payload defaults (should; weakness=MIME map missing TIFF/BMP/HEIC; no upload progress; payload doesn't include seed (Meshy v2 supports it for determinism); no validation of pa; upgrade=Add seed=request.seed to payload; check img_bytes len < 10MB or warn
1750,meshy_provider.py,MeshyProvider.poll,177,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,A,grade=A; severity=none; strength=Clean status-string mapping with PENDING fallback; debug-logs progress percent; weakness=None at scope; upgrade=None
1751,meshy_provider.py,MeshyProvider.download,191,,,,,,,,,,,A-,,,,,,,,,,,,,,,,,,,,A-,grade=A-; severity=medium; strength=Re-fetches task data to get glb URL; raises RuntimeError on FAILED/EXPIRED with task_error message; 65kB chunked downloa; weakness=No SHA256 verification of downloaded GLB; chunk loop doesn't track progress; if disk full mid-download partial file remains; upgrade=Add hashlib.sha256 streaming hash; tempfile + atomic rename to avoid partial file
1752,meshy_provider.py,MeshyProvider.generate_blocking,233,,,,,,,,,,,B+,,,,,,,,,,,,,,,,,,,,B+,"grade=B+; severity=medium; strength=Submit + poll loop + download + validate in one call; deadline-based timeout via time.monotonic; explicit RuntimeError o; weakness=BUG: time.sleep(poll_interval_s) is called even after a status check that detects deadline violation — i.e. a sleep happens after the timeou; upgrade=Replace time.sleep(poll_interval) with time.sleep(min(poll_interval, max(0, deadline - time.monotonic()))); add 429 retr"
S25-CALLABLE-59,vegetation_system.py,_world_to_cell,1563,,,,,,,,,,,B-,,2026-04-28 strict-zero callable coverage sweep; previously uncovered by callable_census_gate.py --strict-zero at vegetation_system.py:1563.,Terrain pipeline helper / production utility,Callable is part of a reachable subsystem and now tracked by strict callable gate.,Needs callable-specific focused evidence before promotion above B-.,Add exact unit/integration evidence for this callable and update grade row with proof.,important,,,,,,,,,,B-,HELPER_REACHABLE,S25 strict-zero callable census row; conservative grade until deeper callable-specific review raises or lowers it.,,
