#,File,Function,Line,R1: Opus 4.6,R1: Codex (gpt-5-codex),R1: Gemini 3.1 Pro Preview,R1 Consensus,R2 Verified Grade,R2 Verdict,R3 Grade,R3 Agrees With,R4 Grade,R4 Agrees With,FINAL GRADE,Dispute Reason,Evidence,AAA Equivalent,Strength,Weakness,Upgrade,Severity,R5 Opus 4.7 Grade,R5 Agrees With,R5 Notes,R6 Opus 4.7 wave-2 Grade,R6 Agrees With,R6 Notes,R7 MCP Verdict,R8 Deep Dive Verdict,R9 Phase7-14 Consensus,R10 GPT-5.5 AAA Regrade,R10 Verification Status,R10 Notes
294,vegetation_system.py,BIOME_VEGETATION_SETS,43,—,—,—,—,—,—,—,—,—,—,B+,,"14 biomes × (trees, ground_cover, rocks). Density values (0.03-0.50). Style variants. **Critical**: this references types like ""veil_healthy"", ""veil_blighted"", ""dark_pine"", ""ice_pine"", ""ember_plant"" — the types referenced here are NOT all defined as generators in `procedural_meshes.py`. The audit m…",,"14 biomes × (trees, ground_cover, rocks). Density values (0.03-0.50). Style variants. **Critical**: this references types like ""veil_healthy"", ""veil_…",,,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
310,environment.py,_build_retired_model_provider_environment_manifest,930,,,,,,,,,,,A,,,,,,,,,,,,,,,,"A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-22: upgraded biome asset manifest -> unknown scatter assets now receive sanitized fallback prompt/class coverage instead of being silently dropped, and per-entry scene/scale metadata is export-safe",A,HELPER_REACHABLE|RETIRED_MODEL_PROVIDER_DEFERRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. retired model provider work intentionally deferred to the separate Claude/retired model provider pass requested by the user."
311,atmospheric_volumes.py,ATMOSPHERIC_VOLUMES,28,—,—,—,—,—,—,—,—,—,—,B+,,"7 volume types (ground_fog, dust_motes, fireflies, god_rays, smoke_plume, spore_cloud, void_shimmer) with shape/density/color/opacity/animation params.",,"7 volume types (ground_fog, dust_motes, fireflies, god_rays, smoke_plume, spore_cloud, void_shimmer) with shape/density/color/opacity/animation param…",,,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
312,atmospheric_volumes.py,BIOME_ATMOSPHERE_RULES,110,—,—,—,—,—,—,—,—,—,—,B+,,10 biomes × volume assignments. Reasonable curation.,,10 biomes × volume assignments. Reasonable curation.,,,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
353,terrain_wildlife_zones.py,DEFAULT_WILDLIFE_RULES,196,—,—,—,—,—,—,—,—,—,—,A-,,"3 species (deer, wolf, eagle) with reasonable parameters. AAA games have 30-50 species; this is starter set.",,"3 species (deer, wolf, eagle) with reasonable parameters. AAA games have 30-50 species; this is starter set.",,,,A-,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
378,lod_pipeline.py,LOD_PRESETS,24,—,—,—,—,—,—,—,—,—,—,B+,,8 asset-type LOD presets with ratios + screen percentages + min_tris. Reasonable. ### `_cross` / `_sub` / `_dot` / `_normalize` / `_face_normal` (lines 78-111) — A Vector helpers. Standard.,,8 asset-type LOD presets with ratios + screen percentages + min_tris. Reasonable. ### `_cross` / `_sub` / `_dot` / `_normalize` / `_face_normal` (lin…,,,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
392,terrain_performance_report.py,DEFAULT_BUDGETS,18,—,—,—,—,—,—,—,—,—,—,B+,,Per-category triangle budgets. Reasonable AAA values.,,Per-category triangle budgets. Reasonable AAA values.,,,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
427,terrain_scatter_altitude_safety.py,audit_scatter_altitude_conversion,41,—,—,—,—,—,—,—,—,—,—,A,,regex audit of source code for the 5 known bad altitude-normalization patterns (Addendum 3.A bug canary).,"Cleverly defensive — this is a ""lint rule"" enforced as a Python function. Catches the recurring `heights / heights.max()` bug.",regex audit of source code for the 5 known bad altitude-normalization patterns (Addendum 3.A bug canary).,,None.,,A,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
458,_terrain_noise.py,compute_slope_map,618,—,—,—,—,—,—,—,—,—,—,A,,"**BUG-13 RESOLVED HERE** — `cell_size` is correctly fed into `np.gradient`. Tuple form `(row_spacing, col_spacing)` lets non-square cells work.","scipy.ndimage.sobel + arctan(magnitude). Equivalent to Houdini ""HeightField Analyze"" with cell_size respected.",Slope in degrees from heightmap via `np.gradient` with optional anisotropic spacing.,"**BUG-13 RESOLVED HERE** — `cell_size` is correctly fed into `np.gradient`. Tuple form `(row_spacing, col_spacing)` lets non-square cells work.; AAA gap: None.",Already A.,,A,NEW,,A,PRIOR-CONSENSUS,"none significant. Clip to [0, 90] is defensive; arctan of nonneg sqrt is already in [0, π/2].",,,A|2026-04-19: backward-compat alias for compute_slope_map_degrees; gradient+arctan pipeline correct.,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
461,_terrain_noise.py,_astar,730,—,—,—,—,—,—,—,—,—,—,A,,"Heuristic is straight Euclidean (line 760) but the move cost includes diagonal `step_dist = sqrt(2)` — heuristic should use octile distance `(dx+dy) + (sqrt(2)-2)*min(dx,dy)` for admissibility on 8-connected grids. Current heuristic is admissible (Euclidean ≤ octile) but not consistent for the cost…",Standard A* (Hart-Nilsson-Raphael 1968). Game-AI A* commonly uses Euclidean heuristic for 8-connected diagonal grids.,"A* pathfinding with `heightmap[nr,nc] - heightmap[cr,cc]` cost + slope_weight + height_weight. Uses heap with stale-entry detection.","Heuristic is straight Euclidean (line 760) but the move cost includes diagonal `step_dist = sqrt(2)` — heuristic should use octile distance `(dx+dy) + (sqrt(2)-2)*min(dx,dy)` for admissibility on 8-connected grids. Current heuristic is admissible (Euclidean ≤ octile) but not consistent for the cost…",Use octile heuristic; consider numba-compile or scipy.sparse.csgraph for batch path queries.; S10-RESEARCH: Rune's exact formula flatDist*(1+(6·slope)²)+12·avgCost(a,b) — add optional cost_map param (BUG-S10-004); expand to 24-dir from 16-dir (BUG-S10-005),polish,B,NEW,,B,PRIOR-CONSENSUS,1. (line 760) inadmissible heuristic mismatch — heuristic is pure Euclidean (sqrt) but the cost function adds slope and height terms that scale with weight=5 / weight=1. h(n) ≤ true_cost only if tr...,BUG-159: CONFIRMED-STRONGER,A|2026-04-19: Rune exact formula; 24-dir movement; octile heuristic; cost_map param; stale-entry skip; straight-line fallback.,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
463,_terrain_noise.py,generate_road_path,946,—,—,—,—,—,—,—,—,—,—,A,,"The core critique still stands and is more specific after the Rune/RPG cross-check. This is still a 16-connected A* + uniform-width grade pass with no curve smoothing, no three-zone carve, no SDF output, and a drifting `target_h` sampled from the already-mutated result heightmap.","Live code at `_terrain_noise.py:946-1008`: uses `_astar(... slope_weight=10.0, height_weight=0.5)` over the 16-connected neighbor set, then grades by flattening toward `target_h = float(result[r, c])` inside nested width loops. No Catmull-Rom/Bezier pass, no sharp-corner duplication, no road-mask/SDF emission.",Basic terrain-road grading primitive,"It does connect waypoint chains and push a graded corridor into the heightmap, which is enough for simple prototype roads.","Still materially below the target RPG road stack: 16-connected instead of Rune-style 24-direction search, no max-grade/elevation-profile fit, no three-zone carve widths, no SDF/mask channel output, and no post-solve smoothing.",Upgrade within the merged road phase: 24-dir search, spline centerline/elevation fit, three-zone carve, and SDF-driven outputs.,polish,B,NEW,,B,A|2026-04-19: 24-dir A* with quadratic slope penalty; valley snapping; Catmull-Rom spline smoothing; exact endpoint guarantee.,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
492,_mesh_bridge.py,CATEGORY_MATERIAL_MAP,450,—,—,—,—,—,—,—,—,—,—,A,,Clean category → material mapping for procedural material auto-assignment.,,,,,,A,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
502,_scatter_engine.py,BREAKABLE_PROPS,421,—,—,—,—,—,—,—,—,—,—,A,,Clean schema.,,,,,,A,NEW,,,,,,,A|2026-04-19: well-specified schema; 5 prop types; fragment/debris count ranges; material dicts.,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
504,_scatter_engine.py,_hash_noise,37,—,—,—,—,—,—,—,—,—,—,B+,,Not thread-safe. Two threads with different seeds will race on `_features_gen`.,,"Opensimplex-via-cached-singleton wrapper. Global mutable state (`_features_gen, _features_seed`).",Not thread-safe. Two threads with different seeds will race on `_features_gen`.,Per-seed cache dict.,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
505,_scatter_engine.py,_fbm,49,—,—,—,—,—,—,—,—,—,—,A-,,Standard 4-octave fBm via opensimplex. Correct normalization. Re-creates generator per call (no cache) — wasteful for batched noise.,,,,,,A-,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
510,_scatter_engine.py,generate_natural_arch,915,—,—,—,—,—,—,—,—,—,—,B+,,Tube cross-section is circular (lines 1009-1010) — real natural arches have asymmetric weathered profiles.,,Parametric semi-elliptical arch swept tube + 2 support pillars with taper + noise.,Tube cross-section is circular (lines 1009-1010) — real natural arches have asymmetric weathered profiles.; AAA gap: Compare to Houdini Heightfield Erode + curve-driven projection — produces eroded arches with visible bedding planes.,Asymmetric profile; bedding-plane noise.,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
511,_scatter_engine.py,generate_geyser,1110,—,—,—,—,—,—,—,—,—,—,B+,,Pool bottom is fan-triangulated from center — fine for radial sym but produces slivers. Vent cone is 6-segment — visible facets.,,Concave pool disc + central vent cone (3 rings + tip) + 3 mineral terrace rings.,Pool bottom is fan-triangulated from center — fine for radial sym but produces slivers. Vent cone is 6-segment — visible facets.; AAA gap: Yellowstone geyser refs use displacement-mapped travertine — would need a noise-displaced mineral overlay material.,Increase vent_res to 16+; add travertine displacement texture intent.,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
516,terrain_sculpt.py,_protected_mask_for_caves,221,—,—,—,—,—,—,—,—,—,—,B+,,Vectorized meshgrid of cell centers + per-zone bbox check. Solid.,,,,,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
517,terrain_sculpt.py,pick_cave_archetype,252,—,—,—,—,—,—,—,—,—,—,B,,Magic numbers everywhere (e.g. `* 1.2 + wetness * 1.5 + (0.6 if basin > 0.1 else 0.0)`). Tuning matrix not in any test.,,"Multi-factor scoring (altitude, slope, wetness, basin, concavity) with deterministic jitter.",Magic numbers everywhere (e.g. `* 1.2 + wetness * 1.5 + (0.6 if basin > 0.1 else 0.0)`). Tuning matrix not in any test.; AAA gap: No reference to actual cave-formation geology rules.,Tabulate the rules; expose tuning matrix as JSON; add tests.,polish,B,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
518,terrain_sculpt.py,generate_cave_path,344,—,—,—,—,—,—,—,—,—,—,B+,,"Per-archetype path shape (straight, vertical-drop, plunge+arm, meander, shallow). Solid procedural.",,,,,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
519,terrain_sculpt.py,carve_cave_volume,436,—,—,—,—,—,—,—,—,—,—,B+,,Triple-nested per-path-point np.mgrid stamp — for a 30-point path × 256² grid = 30 stamps. Vectorize via single np.maximum.reduce.,,Returns negative height delta + populates cave_candidate mask. Per-cell deepest-delta merge across path samples. Per-Rule-10 doesn't mutate stack.hei…,Triple-nested per-path-point np.mgrid stamp — for a 30-point path × 256² grid = 30 stamps. Vectorize via single np.maximum.reduce.,,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
520,terrain_sculpt.py,build_cave_entrance_frame,499,—,—,—,—,—,—,—,—,—,—,A-,,Returns metadata describing 2-3 framing rocks + lip + occlusion shelf + vegetation screen flag. Clean.,,,,,,A-,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
