file,line,callable,kind,domain,current_grade,target_grade,status,priority,match_mode,best_practice_focus,known_weakness,existing_upgrade_hint,upgrade_path,validation_gates,research_refs
__init__.py,295,_handle_compute_probe_placements,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,330,_handle_compute_atmospheric_placements,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,337,_handle_volume_mesh_spec,function,mesh,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Topology quality + LOD stability,,,"1) Topology quality + LOD stability. 2) Protect silhouette and feature edges, enforce normal and tangent correctness, and validate LOD transition error budgets. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/geometry-scripting-through-blueprints-in-unreal-engine|https://www.ea.com/frostbite/news/adaptive-hardware-accelerated-terrain-tessellation
__init__.py,340,_handle_atmosphere_performance,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,358,_handle_select_by_box,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,365,_handle_select_by_sphere,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,372,_handle_select_by_plane,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,380,_handle_parse_selection_criteria,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,399,_handle_smooth_assembled_mesh,function,mesh,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Topology quality + LOD stability,,,"1) Topology quality + LOD stability. 2) Protect silhouette and feature edges, enforce normal and tangent correctness, and validate LOD transition error budgets. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/geometry-scripting-through-blueprints-in-unreal-engine|https://www.ea.com/frostbite/news/adaptive-hardware-accelerated-terrain-tessellation
__init__.py,418,_handle_compute_paint_weights,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,426,_handle_compute_paint_weights_uv,function,mesh,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Topology quality + LOD stability,,,"1) Topology quality + LOD stability. 2) Protect silhouette and feature edges, enforce normal and tangent correctness, and validate LOD transition error budgets. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/geometry-scripting-through-blueprints-in-unreal-engine|https://www.ea.com/frostbite/news/adaptive-hardware-accelerated-terrain-tessellation
__init__.py,434,_handle_blend_colors,function,materials,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Physically based material layering,,,"1) Physically based material layering. 2) Adopt PBR-safe channel mixing, triplanar and UV consistency, and profile-bound texture budget enforcement. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://www.ubisoft.com/en-us/studio/laforge/news/1i3YOvQX2iArLlScBPqBZs/generative-base-material-an-open-source-prototype-for-pbr-material-estimation-debuting-at-siggraph-asia-2025|https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine
__init__.py,455,_handle_evaluate_mesh_quality,function,mesh,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Topology quality + LOD stability,,,"1) Topology quality + LOD stability. 2) Protect silhouette and feature edges, enforce normal and tangent correctness, and validate LOD transition error budgets. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/geometry-scripting-through-blueprints-in-unreal-engine|https://www.ea.com/frostbite/news/adaptive-hardware-accelerated-terrain-tessellation
__init__.py,462,_handle_select_fix_action,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,480,_handle_compute_weathered_vertex_colors,function,geomorph,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Physically informed landform evolution,,,"1) Physically informed landform evolution. 2) Use process-based erosion and weathering constraints, mass-conservation checks, and geomorph plausibility validators. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://www.sidefx.com/docs/houdini/nodes/sop/heightfield_erode|https://docs.quadspinner.com/Reference/Erosion/Erosion.html|https://help.world-machine.com/topic/device-thermalerosion/
__init__.py,487,_handle_apply_structural_settling,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,508,_handle_generate_env_keyframes,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,516,_make_generator_handler,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,519,_h,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,550,_get_or_build_session,function,generic,,A,MISSING,P0,none,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,564,_handle_terrain_preview_apply,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,573,_handle_terrain_preview_state,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,583,_handle_terrain_preview_reset,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,587,_handle_terrain_preview_diff,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,601,_handle_terrain_preview_render_thumbnail,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,633,_get_watcher,function,generic,,A,MISSING,P0,none,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,642,_handle_hot_reload_start,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,646,_handle_hot_reload_stop,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,650,_handle_hot_reload_check,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,680,_coerce_bbox,function,generic,A,A,AT_OR_ABOVE_TARGET,P3,global_simple,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,699,_serialize_vantage,function,generic,,A,MISSING,P0,none,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,711,_coerce_vantage,function,generic,,A,MISSING,P0,none,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,730,_handle_read_viewport_vantage,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,741,_handle_assert_vantage_fresh,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
__init__.py,754,_handle_is_in_frustum,function,generic,A-,A,AT_OR_ABOVE_TARGET,P3,file_qualified,Robust API + correctness + testability,,,"1) Robust API + correctness + testability. 2) Strengthen input validation, explicit invariants, deterministic behavior, and coverage across edge and corner cases. 3) Add deterministic unit and integration tests with edge and corner cases. 4) Add performance budget checks and fail CI on regressions. 5) Add visual or golden regression artifacts where applicable. Maintenance mode: preserve grade with regression gates and benchmark locks.",determinism|perf_budget|golden_visual|contract_tests,https://dev.epicgames.com/documentation/en-us/unreal-engine/procedural-content-generation-framework-in-unreal-engine|https://docs.world-creator.com/
