# Executive summary: audited sections 11.1 through 11.5, spec lines 1666-1848, against main HEAD 3cc63c55ed04df7035c1c06a8cc754e20a0b1ce1. Scope covered
# 104 PR rows and 126 extracted cite records, including three implicit same-file cites that row prose expressed as bare line numbers. Verification used
# git show main:<path> blobs only. Git Bash sed is broken in this environment with Win32 error 5, so line selection was reproduced from git-show output
# with PowerShell/Python indexing after confirming sed failure. Result: 23 valid, 39 stale, 3 out-of-file, and 61 not-found/no-line records. Pattern is
# severe cite rot, not isolated typo drift. Most stale rows resolve to real files but wrong code: shifted handlers, renamed Unity plugin paths, old
# audit line numbers, and prose cites that point at adjacent comments or unrelated functions. Several PR rows have no numeric file:line cite at all,
# especially new-file, dependency, Unity, and doc-cleanup work; those cannot be independently verified by the requested line-probe method. High-risk
# stale clusters: pipeline topo/default-pass/depth lines, W-1 water migration lines, Unity importer parity rows, asset-budget lod_meshes cites, and
# Batch15 doc backfill cites. Valid notable anchors remain for chunk size, shadow scanline bytes, macro-color consumed channels/palette, waterfall foam
# inversion, determinism artifact test, Quixel linear blend, v6 splat truncation, and selected old-wrong-cite confirmations. Treat this runway as
# needing citation repair before dispatch; otherwise agents will patch wrong sites. Recommended next move: repair stale cites before assigning PR
# owners, then rerun this audit after each spec edit so dispatch packets carry verified anchors only now.

pr_number	pr_title	spec_cite_path_line	actual_path_on_main	actual_line_on_main	status_emoji	notes
25	fix(world): biome archetype collapse cite correction; CORRECT cite `environment.py:2031`	handlers/environment.py:2031	veilbreakers_terrain/handlers/environment.py	2031	❌	line exists, but probe does not match row claim; actual: 2031: )
25	fix(world): biome archetype collapse cite correction; CORRECT cite `environment.py:2031`	_terrain_world.py:861-869	veilbreakers_terrain/handlers/_terrain_world.py	861,869	✅	not fix target; row says v2 cite was wrong/unrelated, and main lines are unrelated heightmap-source logic
26	feat(coastline): rescue PR — Bezier-SDF smooth shorelines (`landform_zones.py` + `shoreline_sdf.py` files do NOT exist on disk)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
27	feat(scatter): parent-child scatter rules (1 of 2 net-new AAA gaps)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
28	feat(scatter): artist override layer (2 of 2 net-new AAA gaps)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
29	feat(label-stamping): generator-stamping for cliff/water/rock/gravel labels (Issue #27 architectural fix)	terrain_pipeline.py:1133-1191	veilbreakers_terrain/handlers/terrain_pipeline.py	1133,1191	❌	"line exists, but probe does not match row claim; actual: 1133:  | 1191: produces_channels=(""biome_id"", ""corruption_map""),"
30	fix(waterfalls): foam alpha both factors corrected	handlers/terrain_waterfalls.py:115	veilbreakers_terrain/handlers/terrain_waterfalls.py	115	✅	verified against main line probe; cited code matches row claim
31	fix(macro_color): expand `consumed_channels` to actual reads	handlers/terrain_macro_color.py:230	veilbreakers_terrain/handlers/terrain_macro_color.py	230	✅	verified against main line probe; cited code matches row claim
32	fix(macro_color): extend `DARK_FANTASY_PALETTE` to all 14 biomes	handlers/terrain_macro_color.py:28-37	veilbreakers_terrain/handlers/terrain_macro_color.py	28,37	✅	verified against main line probe; cited code matches row claim
33	fix(audio_zones): line-count and Sabine cite correction	terrain_audio_zones.py:539	veilbreakers_terrain/handlers/terrain_audio_zones.py	539	❌	line exists, but probe does not match row claim; actual: 539: hmax = float(stack.height_max_m) if stack.height_max_m is not None else float(h.max())
33	fix(audio_zones): line-count and Sabine cite correction	terrain_audio_zones.py:554	veilbreakers_terrain/handlers/terrain_audio_zones.py	554	❌	line exists, but probe does not match row claim; actual: 554: mountain = _audio_cc_filter(
34	feat(checkpoints): ID-keyed registries on `id(controller)` documented	handlers/terrain_checkpoints.py:97-102	veilbreakers_terrain/handlers/terrain_checkpoints.py	97,102	❌	"line exists, but probe does not match row claim; actual: 97: checksum_path.write_text(f""{digest}  {final_path.name}\n"", encoding=""utf-8"") | 102: "
35	fix(except-swallow): demote `bundle_n` post-pipeline error from `log.error` to hard fail	handlers/terrain_pipeline.py:992-999	veilbreakers_terrain/handlers/terrain_pipeline.py	992,999	❌	line exists, but probe does not match row claim; actual: 992: if ckpt.checkpoint_id == checkpoint_id: | 999: raise ValueError(
36	feat(asset-budget): split `splatmap_layer_count` 4→8 (Unity 2022+ HDRP supports 8)	build_terrain_aaa_node_v6.py:597-605	scripts/build_terrain_aaa_node_v6.py	597,605	✅	verified against main line probe; cited code matches row claim
37	feat(label-stamping): water_label stamping reads `water_surface_mask` from PR #5b	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
38	feat(chunks): edge-vert sharing assert (`chunk[i,j].east == chunk[i+1,j].west`)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
39	feat(chunks): `edges.json` writer + reader + N/S/E/W feature-thread schema	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
40	feat(splat): seam re-normalize across chunk boundary (sum-to-1.0)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
41	feat(asset-budget): BC6H/BC7/BC5 compression enforcement	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
42	feat(asset-budget): missing emitters (`splat_secondary.png`, `holes.png`, `flow_map.png` RG16, `triplanar_mask.png`, `vertex_ao.bin`, per-layer `albedo/normal/mask/height/detail.png`)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
43	fix(asset-budget): `lod_meshes == []` validator + block manifest emission	vegetation_system.py:1284	veilbreakers_terrain/handlers/vegetation_system.py	1284	❌	line exists, but probe does not match row claim; actual: 1284: # Pure-logic spec mode — no Blender required
43	fix(asset-budget): `lod_meshes == []` validator + block manifest emission	procedural_grass.py:720	veilbreakers_terrain/handlers/procedural_grass.py	720	❌	line exists, but probe does not match row claim; actual: 720: 
44	feat(unity-export): streaming budget hard cap (2 GB chunk-artifact + per-chunk file count)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
45	fix(pipeline): `pass_hydrology` insert cite correction	handlers/environment.py:2861	veilbreakers_terrain/handlers/environment.py	2861	❌	line exists, but probe does not match row claim; actual: 2861: )
46	feat(pipeline): Rule-1 gate restored on scene-read (consumes #3 toposort overrides)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
47	feat(parallel-merge): replace `setattr` bypass with explicit channel sync	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
48	fix(unity-export): consolidate writer edits — explicit dep chain #11 → #12 → #44 → #5b → #48	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
49	refactor(scope): relocate `procedural_meshes.py` (22,816 LOC)	_mesh_bridge.py:26	veilbreakers_terrain/handlers/_mesh_bridge.py	26	✅	verified against main line probe; cited code matches row claim
49	refactor(scope): relocate `procedural_meshes.py` (22,816 LOC)	_terrain_depth.py:51	veilbreakers_terrain/handlers/_terrain_depth.py	51	❌	line exists, but probe does not match row claim; actual: 51: # Generator 1: Cliff Face
49	refactor(scope): relocate `procedural_meshes.py` (22,816 LOC)	environment.py:229	veilbreakers_terrain/handlers/environment.py	229	❌	line exists, but probe does not match row claim; actual: 229: def _object_world_xyz(obj: Any, local_co: Any) -> tuple[float, float, float]:
49	refactor(scope): relocate `procedural_meshes.py` (22,816 LOC)	_bridge_mesh.py:15	veilbreakers_terrain/handlers/_bridge_mesh.py	15	✅	verified against main line probe; cited code matches row claim
50	refactor(scope): relocate animation modules (~3K LOC)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
51	refactor(core): extract `terrain_core.py` (~50 lines)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
52	refactor(types): split `terrain_semantics.py` (82 importers)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
53	refactor(env): split `environment.py` (8651 LOC) at 5 seams	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
54	refactor(features): split `terrain_features.py` at 9 `generate_*` seams	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
55	chore(deletes): locked-list — 47 deprecated scripts + stale audit docs + monolithic `output/visual_nodes/`	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
56	fix(vegetation): repair `vegetation_system.py` defaults so #55 can delete safely	handlers/vegetation_system.py:1284,1534	veilbreakers_terrain/handlers/vegetation_system.py	1284,1534	❌	line exists, but probe does not match row claim; actual: 1284: # Pure-logic spec mode — no Blender required | 1534: manifest_out_path = (
57	demote(ecology): per-biome scattering rules (mountain)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
58	demote(ecology): per-biome scattering rules (grassland)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
59	demote(ecology): per-biome scattering rules (coastal)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
60	feat(quixel): linear-space blend verification	handlers/terrain_quixel_ingest.py:619	veilbreakers_terrain/handlers/terrain_quixel_ingest.py	619	✅	verified against main line probe; cited code matches row claim
61	feat(shader): `HistogramPreservingBlend` HLSL implements Heitz/Neyret Eq.8/11	terrain_stochastic_shader.py:51-265	veilbreakers_terrain/handlers/terrain_stochastic_shader.py	51,265	✅	verified against main line probe; cited code matches row claim
61	feat(shader): `HistogramPreservingBlend` HLSL implements Heitz/Neyret Eq.8/11	terrain_banded_advanced.py:542	veilbreakers_terrain/handlers/terrain_banded_advanced.py	542	⚠️OOF	line outside main blob len=488; probe: 542: <OUT_OF_FILE len=488>
62	gate(W-1): close Issue #28 only after #5b lands AND `test_water_depth_skip.py` passes	handlers/terrain_pipeline.py:1355-1421	veilbreakers_terrain/handlers/terrain_pipeline.py	1355,1421	❌	"line exists, but probe does not match row claim; actual: 1355: description=( | 1421: f""register_default_passes: cycle detected in pass dependency graph """
62	gate(W-1): close Issue #28 only after #5b lands AND `test_water_depth_skip.py` passes	terrain_water_variants.py:880	veilbreakers_terrain/handlers/terrain_water_variants.py	880	❌	"line exists, but probe does not match row claim; actual: 880: ""wet_cells"": int(np.count_nonzero(wetness > 0.3)),"
62	gate(W-1): close Issue #28 only after #5b lands AND `test_water_depth_skip.py` passes	terrain_water_variants.py:1463	veilbreakers_terrain/handlers/terrain_water_variants.py	1463	❌	line exists, but probe does not match row claim; actual: 1463: (r_i, c_i - 1),
B5-U1	feat(unity): build HDRP shader graph stack OR trigger MicroSplat fallback	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-U2	feat(unity): instantiate HDRP `WaterSurface` from `water.json`	unity_project/Assets/Scripts/VbTerrainImporter.cs:1150-1153	unity_plugin/Editor/VbTerrainImporter.cs	1150,1153	❌	line exists, but probe does not match row claim; actual: 1150: TerrainBundleDescriptor descriptor, | 1153: {
B5-U3	feat(unity): `holes.png` consumer (`terrainData.SetHoles`)	VbTerrainImporter.cs:1150-1153	unity_plugin/Editor/VbTerrainImporter.cs	1150,1153	❌	line exists, but probe does not match row claim; actual: 1150: TerrainBundleDescriptor descriptor, | 1153: {
B5-U4	fix(unity): tangent-space normal Y-flip on import	VbTerrainImporter.cs:2097	unity_plugin/Editor/VbTerrainImporter.cs	2097	❌	line exists, but probe does not match row claim; actual: 2097: {
B5-U4	fix(unity): tangent-space normal Y-flip on import	terrain_unity_export.py:334	veilbreakers_terrain/handlers/terrain_unity_export.py	334	❌	line exists, but probe does not match row claim; actual: 334: 
B5-U5	feat(unity): `edges.json` edge-stitch contract (BOTH bake AND Unity sides)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-U6	feat(unity): vertex AO from `vertex_ao.bin` to vertex color	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-U7	feat(unity): HDRP `DecalProjector` instantiation from `decals.json`	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-U8	feat(unity): bind `flow_map.png` to River `WaterSurface.currentMap`	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-U9	feat(unity): `caves/*.fbx` import + GameObject child	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-U10	feat(unity): TerrainLayer height + detail PNGs bound (currently ignored)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-U11	feat(unity): real tree prefab loader (replace Capsule placeholder)	VbChunkLoader.cs:2229-2273			⚠️NF	cited path not found on main; no resolvable main blob
B5-U12	feat(unity): foliage UV2 (lightmap) + UV3 (Pivot Painter wind) + vertex colors	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-U13	feat(unity): expand `VbTerrainTileMetadata` to all 25 fields	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-U14	feat(unity): unknown-key warnings on raw manifest sidecars (audio/decals/water JSON)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-C1	fix(coherence): unify water-channel naming registry	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-C2	fix(coherence): serialize `terrain_unity_export.py` writer-edit dep chain	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-C3	fix(coherence): break #56 ↔ #55 cycle (vegetation_system before delete)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-C4	fix(coherence): C-1 propagated to PR #18 — scope tagging in RNG migration	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-C5	fix(coherence): register `water_surface_mask` channel (PR #37 reads, no PR creates)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-D1	feat(chunks): `chunks/chunk_seed.py` (4-arg `chunk_seed`, 2-arg `biome_seed`)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-D2	feat(chunks): `chunks/cache_invalidator.py` (chunk-grid-aware content-hash + dependency graph)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-D3	feat(chunks): watershed-downstream invalidator	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-D4	feat(chunks): `chunks/chunk_baker.py` + single-chunk CLI	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-T1	feat(tests): render-baseline PNGs + `compare_render_to_golden` SSIM 0.95 wired into CI	terrain_visual_qa.py:706	veilbreakers_terrain/handlers/terrain_visual_qa.py	706	❌	line exists, but probe does not match row claim; actual: 706: committed baseline. Development seeding scripts can pass
B5-T2	feat(tests): `pytest-benchmark` + nightly perf cron	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-T3	feat(tests): `hypothesis` property tests on channel invariants	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-T4	feat(tests): extend byte-identity test to all 18 manifest artifacts	tests/test_phase8_determinism_guardrails.py:53	veilbreakers_terrain/tests/test_phase8_determinism_guardrails.py	53	✅	test function verified; artifact list below still only 3 outputs
B5-T5	feat(tests): protocol enforcement 21/74 → ≥60/74	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-T6	feat(tests): `pytest-rerunfailures` + flaky-hunter nightly	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-T7	feat(ci): fast-lane vs nightly-full split	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-A1	feat(asset-budget): v6 controller bypass — wire to controller	scripts/build_terrain_aaa_node_v6.py:187-287	scripts/build_terrain_aaa_node_v6.py	187,287	✅	verified against main line probe; cited code matches row claim
B5-A2	feat(asset-budget): missing emitters — `splat_secondary.png` (layers 4-7), per-layer `albedo/normal/mask/height/detail.png`, `flow_map.png` (RG16), `triplanar_mask.png`, `vertex_ao.bin`	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-A3	feat(asset-budget): BC compression hard validator + PNG-not-EXR splatmap	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-A4	feat(asset-budget): `lod_meshes` validator + manifest emission gate	vegetation_system.py:1284	veilbreakers_terrain/handlers/vegetation_system.py	1284	❌	line exists, but probe does not match row claim; actual: 1284: # Pure-logic spec mode — no Blender required
B5-A4	feat(asset-budget): `lod_meshes` validator + manifest emission gate	procedural_grass.py:720	veilbreakers_terrain/handlers/procedural_grass.py	720	❌	line exists, but probe does not match row claim; actual: 720: 
B5-DEP1	sec(deps): CVE patch + missing deps + extras split	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-DEP2	sec(deps): lockfile + `bake-env.yml` + `--require-hashes`	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-DEP3	sec(supply-chain): `.github/dependabot.yml` + SHA-pin Actions + HF Space SHA + CodeQL `security-extended`	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-DOC1	docs(archive): 14 superseded markdown files → `docs/_archive/2026-04/`	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	_water_network.py:907-929	veilbreakers_terrain/handlers/_water_network.py	907,929	❌	"line exists, but probe does not match row claim; actual: 907: lut_fy = np.array( | 929: vertex_grid_indices: ""np.ndarray"","
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	procedural_grass.py:350-352	veilbreakers_terrain/handlers/procedural_grass.py	350,352	✅	verified against main line probe; cited code matches row claim
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	coastline.py:1242	veilbreakers_terrain/handlers/coastline.py	1242	❌	line exists, but probe does not match row claim; actual: 1242: # Tidal zone
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	_terrain_erosion.py:318	veilbreakers_terrain/handlers/_terrain_erosion.py	318	✅	verified against main line probe; cited code matches row claim
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	terrain_stratigraphy.py:1069	veilbreakers_terrain/handlers/terrain_stratigraphy.py	1069	❌	line exists, but probe does not match row claim; actual: 1069: # --- Metrics ----------------------------------------------------------
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	terrain_texture_layer_stack.py:38	veilbreakers_terrain/handlers/terrain_texture_layer_stack.py	38	✅	verified against main line probe; cited code matches row claim
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	terrain_cliffs.py:2704-2706	veilbreakers_terrain/handlers/terrain_cliffs.py	2704,2706	❌	"line exists, but probe does not match row claim; actual: 2704:  | 2706: pass_name=""cliffs"","
