# Summary: audited §11.1-§11.5 against main HEAD 3cc63c55ed04df7035c1c06a8cc754e20a0b1ce1 using git show main:<file> blobs only.
# Scope parsed 136 PR table rows, including active rows, moved/deferred trace rows, and Block 5 sub-block rows. Output contains 253 TSV records:
# 206 cite/file records plus 47 NO_CITE PR rows. Status totals: VALID=56, STALE=40, OUT_OF_FILE=6, NEW_FILE_NOT_ON_MAIN=104, NO_CITE=47.
# Compared with CODEX1 baseline (23 valid / 39 stale / 3 out-of-file / 61 no-cite), raw valid count improved by +33 and all-record valid ratio rose
# from 18.3% to 22.1%. True line/file-record quality did not improve: VALID among cite/file records fell from 35.4% baseline to 27.2% because
# Phase 4 added many not-yet-on-main rows and several older stale anchors survived restructure. So answer is mixed: yes, more anchors are now
# verified; no, §11 is not cite-clean enough for autonomous dispatch without repair. Residual stale cites escaping fixes include PR #3
# handlers/terrain_pipeline.py:1449,1510; #5a handlers/terrain_water_variants.py:781,878; #5b terrain_unity_export.py:2270,2278; #8
# handlers/terrain_pipeline.py:940,956; #11 providers/hunyuan3d2_provider.py:274 and handlers/asset_generation.py:699,706; #12
# handlers/terrain_unity_export.py:2484,2510; #15 handlers/terrain_cliffs.py:2397; #16 terrain_stratigraphy.py:1069; #23
# handlers/environment.py:4630,4689 and :5237; #24 terrain_cliffs.py:890; #29 terrain_pipeline.py:1133,1191; #34
# handlers/terrain_checkpoints.py:97,102; #35 handlers/terrain_pipeline.py:992,999; #36 profile instance cites; #43 vegetation/procedural grass;
# #45 handlers/environment.py:2861; #62 water-depth cites; #65 dead-RNG cleanup cites; B5-U2/B5-U3/B5-U4 importer cites; B5-T1 visual QA; B5-A4
# asset-budget cites; and B5-DOC2 backfill cites. Phase 4 focus rows B5-U-NAV, B5-U15-U22, B5-C7-C12, B5-D5-D8, B5-T8-T10, and #65 are mostly
# NEW_FILE_NOT_ON_MAIN or no-line documentation; expected, but they need stronger caveats before agents treat them as main anchors. Highest-risk
# repair order: stale surgical-code rows first, then out-of-file rows, then Phase 4 NEW rows. Do not dispatch PR owners from rows marked STALE,
# OUT_OF_FILE, or NO_CITE unless the PR packet explicitly says the cite is historical/negative evidence rather than the edit target.
pr_number	pr_title	spec_cite	actual_path_on_main	actual_line_or_status	status	notes
7	MOVED to Block 4 (§11.4) per Phase 2 Fix 2.2 — chunkworldsize default change is correctness one-liner, not pipeline blocker. See §11.4 PR #7.	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
8	perf(pipeline): replace deepcopy(maskstack) with channel-shallow + height-COW	handlers/terrain_pipeline.py:940,956	veilbreakers_terrain/handlers/terrain_pipeline.py	940,956	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 940: self.state.checkpoints[-1].checkpoint_id | 956: mask_stack_path=mask_path,
9	perf(roads): vectorize roadnetwork SDF via scipy EDT	handlers/road_network.py:1808,1817	veilbreakers_terrain/handlers/road_network.py	out_of_file	OUT_OF_FILE	line outside main blob len=1775; probe: 1808: <OUT_OF_FILE len=1775> | 1817: <OUT_OF_FILE len=1775>
10	MOVED to Block 4 (§11.4) per Phase 2 Fix 2.2 — bytes += scanline micro-perf is polish, not pipeline blocker. See §11.4 PR #10.	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
11	sec(providers): safefilename for path-injection in 3 providers	providers/meshy_provider.py:216	veilbreakers_terrain/providers/meshy_provider.py	216	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
11	sec(providers): safefilename for path-injection in 3 providers	providers/hunyuan3d2_provider.py:274	veilbreakers_terrain/providers/hunyuan3d2_provider.py	274	STALE	"matches CODEX1 classification after git-show reprobe; ""line exists, but probe does not match row claim; actual: 274: holder[""""status""""] = JobStatus.COMPLETED"""
11	sec(providers): safefilename for path-injection in 3 providers	handlers/asset_generation.py:699,706	veilbreakers_terrain/handlers/asset_generation.py	699,706	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 699:  | 706: sidecar_data = {
12	fix(unity-export): atomic manifest write + temp-dir bundle pattern	handlers/terrain_unity_export.py:2484,2510	veilbreakers_terrain/handlers/terrain_unity_export.py	2484,2510	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 2484: ceil_pad_m=6.0, | 2510: if not _wl:
12	fix(unity-export): atomic manifest write + temp-dir bundle pattern	handlers/terrain_unity_export.py:2248	veilbreakers_terrain/handlers/terrain_unity_export.py	2248	VALID	"line window matches cite intent tokens export,manifest,write,json,dumps; actual: 2248: (output_dir / ""manifest.json"").write_text(json.dumps(manifest, indent=2, sort_keys=True))"
12	fix(unity-export): atomic manifest write + temp-dir bundle pattern	handlers/terrain_unity_export.py:2272	veilbreakers_terrain/handlers/terrain_unity_export.py	2272	VALID	"line window matches cite intent tokens manifest,write,json,dumps; actual: 2272: (output_dir / ""manifest.json"").write_text(json.dumps(manifest, indent=2, sort_keys=True))"
12	fix(unity-export): atomic manifest write + temp-dir bundle pattern	handlers/terrain_unity_export.py:787	veilbreakers_terrain/handlers/terrain_unity_export.py	787	VALID	line window matches cite intent tokens write,json; actual: 787: def _write_json(
13	sec(data-quality): NaN/Inf sanitization on Unity-export channels (NOT a security PR)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
14	fix(rng): single-source derivepassseed via chunkseed module re-export	handlers/terrain_pipeline.py:208	veilbreakers_terrain/handlers/terrain_pipeline.py	208	VALID	negative/historical wrong-cite claim verified: line exists but does not match claimed target; actual: 208: def derive_pass_seed(
14	fix(rng): single-source derivepassseed via chunkseed module re-export	terrain_pipeline.py:208	veilbreakers_terrain/handlers/terrain_pipeline.py	208	VALID	negative/historical wrong-cite claim verified: line exists but does not match claimed target; actual: 208: def derive_pass_seed(
14	fix(rng): single-source derivepassseed via chunkseed module re-export	terrain_rng.py:45	veilbreakers_terrain/handlers/terrain_rng.py	out_of_file	OUT_OF_FILE	line outside main blob len=43; probe: 45: <OUT_OF_FILE len=43>
15	fix(determinism): replace ALL 4 hash/sum-of-ord/enumeration hazards (scope expanded per Fix 4.12)	handlers/terrain_cliffs.py:2368	veilbreakers_terrain/handlers/terrain_cliffs.py	2368	VALID	line window matches cite intent tokens hash; actual: 2368: mesh_seed = hash(cliff.cliff_id) & 0x7FFFFFFF
15	fix(determinism): replace ALL 4 hash/sum-of-ord/enumeration hazards (scope expanded per Fix 4.12)	handlers/terrain_cliffs.py:2397	veilbreakers_terrain/handlers/terrain_cliffs.py	2397	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 2397: segments_vertical=12,
15	fix(determinism): replace ALL 4 hash/sum-of-ord/enumeration hazards (scope expanded per Fix 4.12)	terrain_cliffs.py:1228,1467	veilbreakers_terrain/handlers/terrain_cliffs.py	1228,1467	VALID	negative/historical wrong-cite claim verified: line exists but does not match claimed target; actual: 1228: cliff_seed = sum((idx + 1) * ord(ch) for idx, ch in enumerate(cliff.cliff_id)) & 0x7FFFFFFF | 1467: seed = sum((i + 1) * ord(ch) for i, ch in enumerate(cliff.cliff_id)) & 0x7FFFFFFF
15	fix(determinism): replace ALL 4 hash/sum-of-ord/enumeration hazards (scope expanded per Fix 4.12)	terrain_cliffs.py:1502	veilbreakers_terrain/handlers/terrain_cliffs.py	1502	VALID	negative/historical wrong-cite claim verified: line exists but does not match claimed target; actual: 1502: # Cliff overhang geometry — silhouette breaks + drip edges
15	fix(determinism): replace ALL 4 hash/sum-of-ord/enumeration hazards (scope expanded per Fix 4.12)	terrain_cliffs.py:2620	veilbreakers_terrain/handlers/terrain_cliffs.py	2620	VALID	negative/historical wrong-cite claim verified: line exists but does not match claimed target; actual: 2620: (seed ^ (0xB0B1 + cliff_idx * 37)) & 0x7FFFFFFF
15	fix(determinism): replace ALL 4 hash/sum-of-ord/enumeration hazards (scope expanded per Fix 4.12)	terrain_cliffs.py:2650	veilbreakers_terrain/handlers/terrain_cliffs.py	2650	VALID	"negative/historical wrong-cite claim verified: line exists but does not match claimed target; actual: 2650: f""segments={overhang_spec['overhang_count']}/"""
15	fix(determinism): replace ALL 4 hash/sum-of-ord/enumeration hazards (scope expanded per Fix 4.12)	terrain_caves.py:3894	veilbreakers_terrain/handlers/terrain_caves.py	3894	VALID	line window matches cite intent tokens replace; actual: 3894: rng_sub = np.random.default_rng(cave_i ^ 0xDEADBEEF)
15	fix(determinism): replace ALL 4 hash/sum-of-ord/enumeration hazards (scope expanded per Fix 4.12)	terrain_caves.py:3889	veilbreakers_terrain/handlers/terrain_caves.py	3889	VALID	negative/historical wrong-cite claim verified: line exists but does not match claimed target; actual: 3889: ys_idx, xs_idx = np.where(stals_arr[:cell_rows, :cell_cols] > 0.1)
15.5	feat(chunks): chunks/chunkseed.py module API (promoted from B5-D1 to break PR #18 ↔ B5-D1 cycle; lands first as API-only, then PR #14 migrates)	chunks/chunk_seed.py	veilbreakers_terrain/chunks/chunk_seed.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
15.5	feat(chunks): chunks/chunkseed.py module API (promoted from B5-D1 to break PR #18 ↔ B5-D1 cycle; lands first as API-only, then PR #14 migrates)	chunks/chunk_seed.py	veilbreakers_terrain/chunks/chunk_seed.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
15.5	feat(chunks): chunks/chunkseed.py module API (promoted from B5-D1 to break PR #18 ↔ B5-D1 cycle; lands first as API-only, then PR #14 migrates)	tests/test_chunk_seed_module.py	veilbreakers_terrain/tests/test_chunk_seed_module.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
16	feat(stratigraphy): wire registerstratigraphypass in masterregistrar	terrain_stratigraphy.py:1069	veilbreakers_terrain/handlers/terrain_stratigraphy.py	1069	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 1069: # --- Metrics ----------------------------------------------------------
17	fix(morphology): apply morphologydelta to height in-pass	handlers/terrain_morphology.py:459,465	veilbreakers_terrain/handlers/terrain_morphology.py	459,465	VALID	matches CODEX1 classification after git-show reprobe; morphology_delta write and missing produced/override contract area verified
18	fix(determinism): migrate 100 production + 79 test = 179 RNG sites to derivepassseed(biomeseed/chunkseed) (effort upgraded L → XL per Fix 4.13 — site count was 58 stale; ground-truth 179)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
19	perf(erosion): Numba/Taichi-jit priorityfloodd8 + erode (E-1, E-3 fix)	handlers/_water_network.py:580,664	veilbreakers_terrain/handlers/_water_network.py	580,664	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
19	perf(erosion): Numba/Taichi-jit priorityfloodd8 + erode (E-1, E-3 fix)	handlers/_terrain_erosion.py:308,487	veilbreakers_terrain/handlers/_terrain_erosion.py	308,487	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
20	fix(unity-export): compat shim for 14 test imports	handlers/_compat.py	veilbreakers_terrain/handlers/_compat.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
20	fix(unity-export): compat shim for 14 test imports	tests/test_unity_export_compat.py	veilbreakers_terrain/tests/test_unity_export_compat.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
21	fix(pipeline): declare missing requireschannels and overrides= on 16+ passes	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
22	fix(test-infra): 4 importlib script-loader landmines + 12 legacy watersurface deletions + @pytest.mark.slow	tests/test_callable_orphan_contracts.py:283,290	veilbreakers_terrain/tests/test_callable_orphan_contracts.py	283,290	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
23	fix(env): wrap DAG-escape roadmask write closures into registered passes — scope expanded per Fix 4.5 to cover BOTH buildroadmaskandsdf (V1 verified at :4630-4689) AND sister site paintroadmaskonterrain (:5237)	handlers/environment.py:4630,4689	veilbreakers_terrain/handlers/environment.py	4630,4689	STALE	line exists, but probe does not match row claim; actual: 4630: def _build_road_mask_and_sdf( | 4689: return road_mask, road_sdf
23	fix(env): wrap DAG-escape roadmask write closures into registered passes — scope expanded per Fix 4.5 to cover BOTH buildroadmaskandsdf (V1 verified at :4630-4689) AND sister site paintroadmaskonterrain (:5237)	handlers/environment.py:5237	veilbreakers_terrain/handlers/environment.py	5237	STALE	"line exists, but probe does not match row claim; actual: 5237: ""path"": (0.90, 0.07, 0.02, 0.01),"
24	fix(cliffs): make overhang threshold configurable; CORRECT cite terraincliffs.py:890	terrain_cliffs.py:890	veilbreakers_terrain/handlers/terrain_cliffs.py	890	STALE	line exists, but probe does not match row claim; actual: 890: apron = dilated & ~face_mask & (height <= min_face_h + 1.0)
24	fix(cliffs): make overhang threshold configurable; CORRECT cite terraincliffs.py:890	handlers/terrain_cliffs.py:890	veilbreakers_terrain/handlers/terrain_cliffs.py	890	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 890: apron = dilated & ~face_mask & (height <= min_face_h + 1.0)
25	fix(world): biome archetype collapse cite correction; CORRECT cite environment.py:1205 (canonical first occurrence per Codex 1 cite-refresh)	environment.py:1205	veilbreakers_terrain/handlers/environment.py	1205	VALID	"line window matches cite intent tokens params,mountains; actual: 1205: terrain_type = params.get(""terrain_type"", ""mountains"")"
25	fix(world): biome archetype collapse cite correction; CORRECT cite environment.py:1205 (canonical first occurrence per Codex 1 cite-refresh)	handlers/environment.py:1205	veilbreakers_terrain/handlers/environment.py	1205	VALID	"line window matches cite intent tokens params,mountains; actual: 1205: terrain_type = params.get(""terrain_type"", ""mountains"")"
25	fix(world): biome archetype collapse cite correction; CORRECT cite environment.py:1205 (canonical first occurrence per Codex 1 cite-refresh)	handlers/environment.py:2020,2322,2990,3043	veilbreakers_terrain/handlers/environment.py	2020,2322,2990,3043	VALID	"line window matches cite intent tokens world,params,mountains; actual: 2020: params.get(""terrain_type"", ""mountains""), use_controller) | 2322: terrain_type = params.get(""terrain_type"", ""mountains"") | 2990: terrain_type=str(params.get(""terrain_type"", ""mountains"")), | 3043: noise_profile=str(params.get(""noise_profile"", params.get(""terrain_type"", ""mountains""))),"
25	fix(world): biome archetype collapse cite correction; CORRECT cite environment.py:1205 (canonical first occurrence per Codex 1 cite-refresh)	_terrain_world.py:861,869	veilbreakers_terrain/handlers/_terrain_world.py	861,869	VALID	matches CODEX1 classification after git-show reprobe; not fix target; row says v2 cite was wrong/unrelated, and main lines are unrelated heightmap-source logic
25	fix(world): biome archetype collapse cite correction; CORRECT cite environment.py:1205 (canonical first occurrence per Codex 1 cite-refresh)	_terrain_world.py:2031	veilbreakers_terrain/handlers/_terrain_world.py	out_of_file	OUT_OF_FILE	line outside main blob len=1590; probe: 2031: <OUT_OF_FILE len=1590>
25	fix(world): biome archetype collapse cite correction; CORRECT cite environment.py:1205 (canonical first occurrence per Codex 1 cite-refresh)	_terrain_world.py:1205	veilbreakers_terrain/handlers/_terrain_world.py	1205	VALID	negative/historical wrong-cite claim verified: line exists but does not match claimed target; actual: 1205: }
25	fix(world): biome archetype collapse cite correction; CORRECT cite environment.py:1205 (canonical first occurrence per Codex 1 cite-refresh)	_terrain_world.py:2020,2322,2990,3043	veilbreakers_terrain/handlers/_terrain_world.py	out_of_file	OUT_OF_FILE	line outside main blob len=1590; probe: 2020: <OUT_OF_FILE len=1590> | 2322: <OUT_OF_FILE len=1590> | 2990: <OUT_OF_FILE len=1590> | 3043: <OUT_OF_FILE len=1590>
26	feat(coastline): rescue PR — Bezier-SDF smooth shorelines (landformzones.py + shorelinesdf.py files do NOT exist on disk)	landform_zones.py	landform_zones.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
26	feat(coastline): rescue PR — Bezier-SDF smooth shorelines (landformzones.py + shorelinesdf.py files do NOT exist on disk)	shoreline_sdf.py	shoreline_sdf.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
26	feat(coastline): rescue PR — Bezier-SDF smooth shorelines (landformzones.py + shorelinesdf.py files do NOT exist on disk)	coastal/landform_zones.py	coastal/landform_zones.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
26	feat(coastline): rescue PR — Bezier-SDF smooth shorelines (landformzones.py + shorelinesdf.py files do NOT exist on disk)	coastal/shoreline_sdf.py	coastal/shoreline_sdf.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
26	feat(coastline): rescue PR — Bezier-SDF smooth shorelines (landformzones.py + shorelinesdf.py files do NOT exist on disk)	tests/test_coastal_landform_sdf.py	veilbreakers_terrain/tests/test_coastal_landform_sdf.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
27	feat(scatter): parent-child scatter rules (1 of 2 net-new AAA gaps)	foliage/scatter/parent_child_rules.py	foliage/scatter/parent_child_rules.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
27	feat(scatter): parent-child scatter rules (1 of 2 net-new AAA gaps)	tests/test_scatter_parent_child.py	veilbreakers_terrain/tests/test_scatter_parent_child.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
28	feat(scatter): artist override layer (2 of 2 net-new AAA gaps)	foliage/scatter/artist_override.py	foliage/scatter/artist_override.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
28	feat(scatter): artist override layer (2 of 2 net-new AAA gaps)	_overrides.yaml	_overrides.yaml	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
28	feat(scatter): artist override layer (2 of 2 net-new AAA gaps)	tests/test_artist_override_scatter.py	veilbreakers_terrain/tests/test_artist_override_scatter.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
29	feat(label-stamping): generator-stamping for cliff/water/rock/gravel labels (Issue #27 architectural fix)	terrain_pipeline.py:1054	veilbreakers_terrain/handlers/terrain_pipeline.py	1054	VALID	line window matches cite intent tokens pass,label,labels; actual: 1054: def pass_compute_terrain_labels(
29	feat(label-stamping): generator-stamping for cliff/water/rock/gravel labels (Issue #27 architectural fix)	terrain_pipeline.py:1133,1191	veilbreakers_terrain/handlers/terrain_pipeline.py	1133,1191	STALE	"matches CODEX1 classification after git-show reprobe; ""line exists, but probe does not match row claim; actual: 1133:  | 1191: produces_channels=(""""biome_id"""", """"corruption_map""""),"""
30	fix(waterfalls): foam alpha both factors corrected	handlers/terrain_waterfalls.py:115	veilbreakers_terrain/handlers/terrain_waterfalls.py	115	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
31	fix(macrocolor): expand consumedchannels to actual reads	handlers/terrain_macro_color.py:230	veilbreakers_terrain/handlers/terrain_macro_color.py	230	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
32	fix(macrocolor): extend DARKFANTASYPALETTE to all 14 biomes	handlers/terrain_macro_color.py:28,37	veilbreakers_terrain/handlers/terrain_macro_color.py	28,37	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
33	fix(audiozones): line-count and Sabine cite correction	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
34	feat(checkpoints): ID-keyed registries on id(controller) documented	handlers/terrain_checkpoints.py:97,102	veilbreakers_terrain/handlers/terrain_checkpoints.py	97,102	STALE	"matches CODEX1 classification after git-show reprobe; ""line exists, but probe does not match row claim; actual: 97: checksum_path.write_text(f""""{digest}  {final_path.name}\n"""", encoding=""""utf-8"""") | 102: """
34	feat(checkpoints): ID-keyed registries on id(controller) documented	handlers/terrain_checkpoints.py:1000	veilbreakers_terrain/handlers/terrain_checkpoints.py	out_of_file	OUT_OF_FILE	line outside main blob len=647; probe: 1000: <OUT_OF_FILE len=647>
35	fix(except-swallow): demote bundlen post-pipeline error from log.error to hard fail	handlers/terrain_pipeline.py:992,999	veilbreakers_terrain/handlers/terrain_pipeline.py	992,999	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 992: if ckpt.checkpoint_id == checkpoint_id: | 999: raise ValueError(
36	feat(asset-budget): split splatmaplayercount 4→8 (Unity 2022+ HDRP supports 8)	handlers/terrain_quality_profiles.py:182	veilbreakers_terrain/handlers/terrain_quality_profiles.py	182	VALID	line window matches cite intent tokens profile; actual: 182: splatmap_layer_count: int = 4       # Unity max; same for all profiles
36	feat(asset-budget): split splatmaplayercount 4→8 (Unity 2022+ HDRP supports 8)	handlers/terrain_quality_profiles.py:352	veilbreakers_terrain/handlers/terrain_quality_profiles.py	352	STALE	line exists, but probe does not match row claim; actual: 352: splatmap_layer_count=4,
36	feat(asset-budget): split splatmaplayercount 4→8 (Unity 2022+ HDRP supports 8)	handlers/terrain_quality_profiles.py:408	veilbreakers_terrain/handlers/terrain_quality_profiles.py	408	STALE	line exists, but probe does not match row claim; actual: 408: splatmap_layer_count=4,
36	feat(asset-budget): split splatmaplayercount 4→8 (Unity 2022+ HDRP supports 8)	handlers/terrain_quality_profiles.py:464	veilbreakers_terrain/handlers/terrain_quality_profiles.py	464	STALE	line exists, but probe does not match row claim; actual: 464: splatmap_layer_count=4,
36	feat(asset-budget): split splatmaplayercount 4→8 (Unity 2022+ HDRP supports 8)	handlers/terrain_quality_profiles.py:520	veilbreakers_terrain/handlers/terrain_quality_profiles.py	520	STALE	line exists, but probe does not match row claim; actual: 520: splatmap_layer_count=4,
36	feat(asset-budget): split splatmaplayercount 4→8 (Unity 2022+ HDRP supports 8)	handlers/terrain_budget_enforcer.py:211	veilbreakers_terrain/handlers/terrain_budget_enforcer.py	211	VALID	line window matches cite intent tokens profile,instances; actual: 211: max_unique_materials=max(int(profile.splatmap_layer_count), 1),
36	feat(asset-budget): split splatmaplayercount 4→8 (Unity 2022+ HDRP supports 8)	build_terrain_aaa_node_v6.py:597,605	scripts/build_terrain_aaa_node_v6.py	597,605	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
37	feat(label-stamping): waterlabel stamping reads watersurfacemask from PR #5b	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
38	feat(chunks): edge-vert sharing assert (chunk[i,j].east == chunk[i+1,j].west)	chunks/edge_contract.py	veilbreakers_terrain/chunks/edge_contract.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
