capability_name,canonical_bpy_call,handler_that_uses_it,mcp_command_that_exposes_it,test_coverage,gap_notes
empties,bpy.data.objects.new(None),handlers/blender_capability_bridge.py,blender_empty_create,test_blender_capability_audit_has_full_coverage,Phase J: newly wired (controller empties for animation rigs)
bpy.ops access,bpy.ops.*,handlers/terrain_visual_qa.py;handlers/terrain_sculpt.py;handlers/terrain_blender_safety.py;handlers/blender_capability_bridge.py,varies,varies,Direct bpy.ops access always wrapped in a handler; no raw-op MCP (intentional)
bpy.data access,bpy.data.*,all bpy-requiring handlers,varies,varies,Core data access - every handler does this
bpy.context access,bpy.context.*,most handlers,varies,varies,Core context access
bmesh module,import bmesh,handlers/_mesh_bridge.py;handlers/terrain_cliffs.py;handlers/blender_capability_bridge.py;+8 more,varies,test_mcp_dispatch.py,Core module - used broadly
mathutils module,import mathutils,handlers/terrain_sculpt.py;handlers/_mesh_bridge.py;many,implicit,varies,Standard lib - used broadly
Geometry Nodes: create tree,bpy.data.node_groups.new(GeometryNodeTree),handlers/blender_capability_bridge.py,blender_geometry_nodes_create_group,test_geometry_nodes_round_trip,Phase J: newly wired
Geometry Nodes: add node,group.nodes.new,handlers/blender_capability_bridge.py,blender_geometry_nodes_add_node,test_geometry_nodes_round_trip,Phase J: newly wired
Geometry Nodes: wire sockets,group.links.new,handlers/blender_capability_bridge.py,blender_geometry_nodes_link_sockets,test_geometry_nodes_round_trip,Phase J: newly wired
Geometry Nodes: assign to object,obj.modifiers.new(NODES) + mod.node_group,handlers/blender_capability_bridge.py,blender_geometry_nodes_assign_to_object,test_geometry_nodes_round_trip,Phase J: newly wired
Geometry Nodes: dump tree,iterate group.nodes/group.links,handlers/blender_capability_bridge.py,blender_geometry_nodes_dump,test_geometry_nodes_round_trip,Phase J: newly wired - round trip complete
Shader Nodes: create group,bpy.data.node_groups.new(ShaderNodeTree),handlers/terrain_materials.py,terrain_setup_biome;material_create_procedural,test_terrain_materials.py,Existing - used by biome material pipeline
A.N.T. Landscape addon,addon_utils.enable('ant_landscape'),handlers/blender_capability_bridge.py;handlers/terrain_materials.py (reference),blender_addon_enable (addon_key=ant_landscape),test_blender_capability_audit_has_full_coverage,Phase J: enable/disable wired
Sapling Tree Gen addon,addon_utils.enable('add_curve_sapling'),handlers/blender_capability_bridge.py,blender_addon_enable (addon_key=sapling),test_blender_capability_audit_has_full_coverage,Phase J: enable/disable wired
Node Wrangler addon,addon_utils.enable('node_wrangler'),handlers/blender_capability_bridge.py,blender_addon_enable (addon_key=node_wrangler),test_blender_capability_audit_has_full_coverage,Phase J: enable/disable wired
addon health check,addon_utils.check,handlers/terrain_addon_health.py,terrain_check_addon_health;terrain_detect_stale_addon;terrain_force_addon_reload,test_terrain_addon_health.py,Full coverage
addon disable,addon_utils.disable,handlers/blender_capability_bridge.py,blender_addon_disable,test_blender_capability_audit_has_full_coverage,Phase J: newly wired
